repo_ID,repo_name,criteria,included,full_repo_name,url,arch_overview,diagrams,adrs,context,deployment,quality_attrs,interface,evaluation,stakeholders,sa_doc,sa_doc_link,domain,architectural_layer,application_type,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,layer,search_term,desc.,commits_2024,#_commits,last_commit,stars,lang,collaborators,forks,size
R003,supermq,I3,Yes,absmach/supermq,https://github.com/absmach/supermq,•,•,,,•,,•,,,YES,https://docs.magistrala.abstractmachines.fr/architecture,"Data streaming processing, Smart Environment",Infrastructure/Platform,Platform,Multi-Protocol IoT Messaging Broker,Interface Capability,Device/Edge,Identity & Access Management for IoT,Supporting Capabilities,Cross-cutting,Scalable Microservices Architecture for IoT,Supporting Capabilities,Fog/Cloud ,Continuum,edge iot,Event-driven Infrastructure for Modern Cloud,373.0,1.811,2025-01-20T08:22:15Z,2489.0,Go,70.0,672.0,147242.0
R009,zilla,I3,Yes,aklivity/zilla,https://github.com/aklivity/zilla,•,•,,•,•,,•,,,YES,https://docs.aklivity.io/zilla/latest/concepts/what-is-zilla.html#who-zilla-is-for,Data streaming processing,Infrastructure/Platform,Platform,Event-Driven API Gateway for IoT/Edge,Interface Capability,Edge/Fog,Multi-Protocol Event Streaming Integration,Interface Capability,Edge/Fog/Cloud,Low-Latency Edge Data Proxying,Data Capabilities,Cross-cutting,Continuum,edge-iot,"🦎 A multi-protocol edge & service proxy. Seamlessly interface web apps, IoT clients, & microservices to Apache Kafka® via declaratively defined, stateless APIs.",682.0,2.184,2025-01-12T23:14:21Z,563.0,Java,18.0,55.0,30050.0
R013,heartkit,I2,Yes,AmbiqAI/heartkit,https://github.com/AmbiqAI/heartkit,,•,,•,•,,,,,Partially,https://github.com/AmbiqAI/heartkit/blob/main/docs/assets/guides/heartkit-architecture.svg,"Healthcare,  medical IoT, Real Time Data Processing",Infrastructure/Platform,Full System,On-Device Biomedical Signal Inference,Supporting Capabilities,Device/Edge,Low-Power AI Optimization,Supporting Capabilities,Cross-cutting,Health Data Preprocessing & Model Lifecycle,Supporting Capabilities,Edge/Fog,device ↔ fog,tinyml,Perform AI-based heart monitoring tasks,43.0,195,2024-10-10T21:46:36Z,21.0,Jupyter Notebook,1.0,7.0,39767.0
R016,ai8x-synthesis,I2,No,analogdevicesinc/ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,•,•,,,•,,,•,,Partially,https://github.com/analogdevicesinc/ai8x-synthesis?tab=readme-ov-file#overview,"Industrial IoT, Efficient AI",Infrastructure/Platform,Platform/framework,Model Quantization & Synthesis,Supporting Capabilities,Edge,Edge Hardware Optimization,Supporting Capabilities,Device,Toolchain Integration & Automation,Supporting Capabilities,Cross-cutting,device ↔ fog,edge ai,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 Edge AI Devices,35.0,305,2024-12-06T14:24:53Z,59.0,Python,14.0,60.0,677035.0
R017,ai8x-training,I2,No,analogdevicesinc/ai8x-training,https://github.com/analogdevicesinc/ai8x-training,•,•,,,•,,,•,,Partially,https://github.com/analogdevicesinc/ai8x-training?tab=readme-ov-file#overview,"Computer Vision, Industrial IoT, IoT",Infrastructure/Platform,Platform/framework,Model Training & Preparation,Supporting Capabilities,Fog/Edge,Hardware-Aware Model Constraint Handling,Supporting Capabilities,Device,AutoML / Training Workflow Integration,Supporting Capabilities,Fog/Edge,device ↔ fog,edge ai,Model Training for ADI's MAX78000 and MAX78002 Edge AI Devices,45.0,243,2025-01-14T00:04:03Z,95.0,Jupyter Notebook,13.0,91.0,231469.0
R018,MaximAI_Documentation,I2,No,analogdevicesinc/MaximAI_Documentation,https://github.com/analogdevicesinc/MaximAI_Documentation,,•,,•,,,,,,Partially,https://www.analog.com/en/resources/technical-articles/face-identification-using-max78000.html,Computer Vision,Infrastructure/Platform,Platform,TinyML Deployment for Resource-Constrained MCUs,Supporting Capabilities,Device,"Model Training, Quantization & Synthesis Workflow",Supporting Capabilities,Fog/Edge,Domain-Specific Edge AI (Vision & Speech),Supporting Capabilities,Cross-cutting,device ↔ fog,edge ai,START HERE: Documentation for ADI's MAX78000 and MAX78002 Edge AI devices,5.0,111,2024-05-13T16:18:32Z,101.0,,13.0,44.0,276610.0
R022,aws-iot-fleetwise-edge,I1,Yes,aws/aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,•,•,,,•,•,•,,,YES,https://github.com/aws/aws-iot-fleetwise-edge?tab=readme-ov-file#aws-iot-fleetwise-architecture,"Autonomous Systems, Smart Environment",Infrastructure/Platform,Platform,Intelligent Data Collection & Remote Commands,Data Capabilities,Edge/Fog,Store-and-Forward with Edge Buffering,Data Capabilities,Edge,Secure MQTT Communication,Interface Capability,Cross-cutting,Edge ↔ fog,edge-iot,Reference Implementation for AWS IoT FleetWise,25.0,92,2025-01-15T14:50:35Z,63.0,C++,15.0,45.0,5039.0
R023,dem,I2,Yes,axem-solutions/dem,https://github.com/axem-solutions/dem,•,•,,,•,,•,,,YES,https://github.com/axem-solutions/dem/blob/main/docs/design.md,"IIoT, Real-time data streaming",Infrastructure/Platform,Subsystem,Declarative DevEnv Orchestration,Supporting Capabilities,Fog/Cloud,Template & Registry Integration,Supporting Capabilities,Cross-cutting,Portable Containerized Tooling,Supporting Capabilities,Cross-cutting,Edge ↔ fog,edge iot,Containerized Development Environment Manager for embedded development,69.0,495,2025-01-17T17:02:10Z,101.0,Python,9.0,15.0,7597.0
R024,azure-iot-edge-identity-translation-lite,I2,Yes,Azure-Samples/azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,•,•,,,•,,•,,,YES,https://github.com/Azure/arc_jumpstart_docs,IIoT,Infrastructure/Platform,Platform,Identity Translation Gateway,Interface Capability,Fog,Protocol Translation Fabricação,Interface Capability,Device/Fog,Dynamic Device Provisioning (Cloud),Supporting Capabilities,Fog/Cloud,Continuum,edge-iot,Azure IoT Edge Identity Translation Module sample.,1.0,74,2024-04-22T07:26:46Z,22.0,C#,12.0,22.0,769.0
R025,edge-aio-in-a-box,I1,Yes,Azure-Samples/edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,•,•,,,•,,•,,,Partially,https://github.com/Azure-Samples/edge-aio-in-a-box/tree/main?tab=readme-ov-file#architecture,"IIoT, Smart Environments",Infrastructure/Platform,Framework,Automated Azure Edge Provisioning,Supporting Capabilities,Fog/Cloud,Edge AI Model Lifecycle Management,Supporting Capabilities,Fog/Edge,Interactive Edge Testing & Inference,Supporting Capabilities,Edge/Fog,Continuum,edge-ai,Azure IoT Operations with Edge AI in-a-Box,150.0,150,2024-11-12T20:03:08Z,13.0,Jupyter Notebook,3.0,4.0,26771.0
