question,Very not useful,Not useful,Neutral,Useful,Very useful
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G1 - Adopt standardized, interoperable communication protocols, and explicitly document topic structures, access permissions, and security configurations.]",1,0,1,3,5
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G2 - Adopt an abstract event bus that allows switching the underlying broker or communication protocol without modifying your application code.]",1,1,1,6,1
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G3 - Implement automated health checks and load balancing mechanisms to ensure traffic is routed only to healthy service instances.]",1,0,2,2,5
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G4 - Enable dynamic transport negotiation between edge and cloud components to ensure optimal communication under varying network conditions.]",1,0,1,5,3
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G5 - Use middleware that enables interoperability across heterogeneous systems to maintain seamless communication along the cloud–edge continuum.]",0,0,2,4,4
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G6 - Use middleware that supports interoperability between heterogeneus environments to ensure continuos communication in the cloud-edge continuum.]",1,0,2,4,3
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G7 - Adopt a secure onboarding workflow that leverages a membership service to automatically connect new devices to edge nodes and register them with the cloud hub before initiating any data transmission.]",0,0,4,2,4
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G8 - Design and implement logical abstractions to organize and manage overlay networks across edge nodes.]",1,0,2,4,3
" [G9 - Design Edge systems using a microservices-based architecture, breaking down system functionalities into loosely coupled, independent components.]",1,1,1,3,4
 [G10 - Expose orchestration and communication layers between modular components to support integration workflows and automation.],1,0,0,7,2
" [G11 - Adopt a pub/sub messaging layer to decouple service interactions and enable scalable, event-driven communication across distributed components.]",1,0,1,2,6
 [G12 - Centralize the control and observability of Edge nodes using orchestration or management platforms exposing declarative interfaces to define and monitor system state.],0,1,4,2,3
" [G13 - Design event-driven processing pipelines with continuous synchronization between edge and cloud environments, supporting configurable data sources, processing logic, and output channels.]",1,0,1,5,3
 [G14 - Use isolated modules and configurable containers as self-contained execution units for deploying business logic at the edge.],1,0,1,3,5
 [G15 - Adopt event-driven mechanisms that listen to and act upon critical events to support secure and autonomous edge architectures.],1,0,3,1,5
 [G16 - Implement certificate-based authentication to secure communication between system modules through verified identities.],1,0,2,4,3
