name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
OnnxStream,vitoplantamura/OnnxStream,https://github.com/vitoplantamura/OnnxStream,"Lightweight inference library for ONNX files, written in C++. It can run Stable Diffusion XL 1.0 on a RPI Zero 2 (or in 298MB of RAM) but also Mistral 7B on desktops and servers. ARM, x86, WASM, RISC-V supported. Accelerated by XNNPACK.",66,2025-01-19T06:17:07Z,49,1891,False,86,C++,35213,1.0,False,False,False,https://api.github.com/repos/vitoplantamura/OnnxStream/contributors,https://api.github.com/repos/vitoplantamura/OnnxStream/collaborators{/collaborator},4,tinyml
uTensor,uTensor/uTensor,https://github.com/uTensor/uTensor,TinyML AI inference library,1031,2024-11-01T14:47:22Z,3,1751,False,227,C++,77931,1.0,False,False,False,https://api.github.com/repos/uTensor/uTensor/contributors,https://api.github.com/repos/uTensor/uTensor/collaborators{/collaborator},18,tinyml
frugally-deep,Dobiasd/frugally-deep,https://github.com/Dobiasd/frugally-deep,A lightweight header-only library for using Keras (TensorFlow) models in C++.,1602,2025-01-19T17:57:20Z,21,1081,False,237,C++,3492,1.0,False,False,False,https://api.github.com/repos/Dobiasd/frugally-deep/contributors,https://api.github.com/repos/Dobiasd/frugally-deep/collaborators{/collaborator},28,tinyml
TinyMaix,sipeed/TinyMaix,https://github.com/sipeed/TinyMaix,TinyMaix is a tiny inference library for microcontrollers (TinyML).,262,2024-06-03T13:50:54Z,8,932,False,146,C,42895,1.0,False,False,False,https://api.github.com/repos/sipeed/TinyMaix/contributors,https://api.github.com/repos/sipeed/TinyMaix/collaborators{/collaborator},30,tinyml
tinyengine,mit-han-lab/tinyengine,https://github.com/mit-han-lab/tinyengine,[NeurIPS 2020] MCUNet: Tiny Deep Learning on IoT Devices; [NeurIPS 2021] MCUNetV2: Memory-Efficient Patch-based Inference for Tiny Deep Learning; [NeurIPS 2022] MCUNetV3: On-Device Training Under 256KB Memory,93,2024-11-27T18:51:37Z,11,822,False,134,C,246144,1.0,False,False,False,https://api.github.com/repos/mit-han-lab/tinyengine/contributors,https://api.github.com/repos/mit-han-lab/tinyengine/collaborators{/collaborator},8,tinyml
tinyml-papers-and-projects,gigwegbe/tinyml-papers-and-projects,https://github.com/gigwegbe/tinyml-papers-and-projects,This is a list of interesting papers and projects about TinyML. ,231,2025-01-09T12:25:21Z,8,798,False,137,,288,1.0,False,False,False,https://api.github.com/repos/gigwegbe/tinyml-papers-and-projects/contributors,https://api.github.com/repos/gigwegbe/tinyml-papers-and-projects/collaborators{/collaborator},4,tinyml
rl-tools,rl-tools/rl-tools,https://github.com/rl-tools/rl-tools,The Fastest Deep Reinforcement Learning Library,2553,2024-12-20T15:09:05Z,1343,728,False,27,C++,6551,1.0,False,False,False,https://api.github.com/repos/rl-tools/rl-tools/contributors,https://api.github.com/repos/rl-tools/rl-tools/collaborators{/collaborator},2,tinyml
emlearn,emlearn/emlearn,https://github.com/emlearn/emlearn,Machine Learning inference engine for Microcontrollers and Embedded devices,686,2025-01-18T23:41:01Z,134,545,False,57,Python,2110,1.0,False,False,False,https://api.github.com/repos/emlearn/emlearn/contributors,https://api.github.com/repos/emlearn/emlearn/collaborators{/collaborator},7,tinyml
mcunet,mit-han-lab/mcunet,https://github.com/mit-han-lab/mcunet,[NeurIPS 2020] MCUNet: Tiny Deep Learning on IoT Devices; [NeurIPS 2021] MCUNetV2: Memory-Efficient Patch-based Inference for Tiny Deep Learning,49,2024-03-29T18:17:37Z,3,502,False,84,Python,12581,1.0,False,False,False,https://api.github.com/repos/mit-han-lab/mcunet/contributors,https://api.github.com/repos/mit-han-lab/mcunet/collaborators{/collaborator},4,tinyml
artificial-nose,kartben/artificial-nose,https://github.com/kartben/artificial-nose,"Instructions, source code, and misc. resources needed for building a Tiny ML-powered artificial nose.",101,2024-07-05T11:58:00Z,0,353,False,71,C,20204,1.0,False,False,False,https://api.github.com/repos/kartben/artificial-nose/contributors,https://api.github.com/repos/kartben/artificial-nose/collaborators{/collaborator},3,tinyml
ModelAssistant,Seeed-Studio/ModelAssistant,https://github.com/Seeed-Studio/ModelAssistant,Seeed SenseCraft Model Assistant is an open-source project focused on embedded AI. 🔥🔥🔥,824,2025-01-16T11:13:02Z,224,352,False,49,Python,26993,1.0,False,False,False,https://api.github.com/repos/Seeed-Studio/ModelAssistant/contributors,https://api.github.com/repos/Seeed-Studio/ModelAssistant/collaborators{/collaborator},100,tinyml
embeddedml,jonnor/embeddedml,https://github.com/jonnor/embeddedml,Notes on Machine Learning on edge for embedded/sensor/IoT uses,520,2025-01-15T23:54:32Z,265,257,False,31,Jupyter Notebook,132566,1.0,False,False,False,https://api.github.com/repos/jonnor/embeddedml/contributors,https://api.github.com/repos/jonnor/embeddedml/collaborators{/collaborator},1,tinyml
BitNetMCU,cpldcpu/BitNetMCU,https://github.com/cpldcpu/BitNetMCU,Neural Networks with low bit weights on low end 32 bit microcontrollers such as the CH32V003 RISC-V Microcontroller and others,126,2024-12-15T11:52:33Z,126,254,False,25,C,8730,1.0,False,False,False,https://api.github.com/repos/cpldcpu/BitNetMCU/contributors,https://api.github.com/repos/cpldcpu/BitNetMCU/collaborators{/collaborator},2,tinyml
awesome-compression,datawhalechina/awesome-compression,https://github.com/datawhalechina/awesome-compression,模型压缩的小白入门教程,136,2024-11-19T12:51:37Z,135,224,False,31,,316628,1.0,False,False,False,https://api.github.com/repos/datawhalechina/awesome-compression/contributors,https://api.github.com/repos/datawhalechina/awesome-compression/collaborators{/collaborator},10,tinyml
XIAO-ESP32S3-Sense,Mjrovai/XIAO-ESP32S3-Sense,https://github.com/Mjrovai/XIAO-ESP32S3-Sense,"Seeed Studio XIAO ESP32S3 Sense integrates a camera sensor, digital microphone, and SD card support. Combining embedded ML computing power and photography capability, this development board is a great tool to get started with TinyML (intelligent voice and vision AI).",52,2024-04-08T10:48:11Z,6,189,False,33,Jupyter Notebook,118002,1.0,False,False,False,https://api.github.com/repos/Mjrovai/XIAO-ESP32S3-Sense/contributors,https://api.github.com/repos/Mjrovai/XIAO-ESP32S3-Sense/collaborators{/collaborator},1,tinyml
TinyML-ESP32,HollowMan6/TinyML-ESP32,https://github.com/HollowMan6/TinyML-ESP32,This is the TinyML programs for ESP32 according to BlackWalnut Labs Tutorials. (黑胡桃实验室的TinyML教程中的程序集合) ,12,2025-01-19T13:37:19Z,0,154,False,39,C,974,1.0,False,False,False,https://api.github.com/repos/HollowMan6/TinyML-ESP32/contributors,https://api.github.com/repos/HollowMan6/TinyML-ESP32/collaborators{/collaborator},1,tinyml
colabs,tinyMLx/colabs,https://github.com/tinyMLx/colabs,This repository holds the Google Colabs for the EdX TinyML Specialization,205,2024-11-02T00:49:43Z,24,111,False,113,Jupyter Notebook,10127,1.0,False,False,False,https://api.github.com/repos/tinyMLx/colabs/contributors,https://api.github.com/repos/tinyMLx/colabs/collaborators{/collaborator},9,tinyml
