name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
mediapipe,google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.",4406,2025-01-17T18:25:05Z,1395,28296,False,5221,C++,603480,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/mediapipe/contributors,https://api.github.com/repos/google-ai-edge/mediapipe/collaborators{/collaborator},79,edge ai
semantic-kernel,microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,3885,2025-01-18T07:21:06Z,1697,22714,False,3421,C#,65687,1.0,False,False,False,https://api.github.com/repos/microsoft/semantic-kernel/contributors,https://api.github.com/repos/microsoft/semantic-kernel/collaborators{/collaborator},100,edge ai
BingGPT,dice2o/BingGPT,https://github.com/dice2o/BingGPT,"Desktop application of new Bing's AI-powered chat (Windows, macOS and Linux)",46,2024-02-08T15:06:01Z,0,9224,False,710,JavaScript,1657,1.0,False,False,False,https://api.github.com/repos/dice2o/BingGPT/contributors,https://api.github.com/repos/dice2o/BingGPT/collaborators{/collaborator},2,edge ai
AI-on-the-edge-device,jomjol/AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",2026,2025-01-17T22:16:56Z,266,6266,False,677,C++,163077,1.0,False,False,False,https://api.github.com/repos/jomjol/AI-on-the-edge-device/contributors,https://api.github.com/repos/jomjol/AI-on-the-edge-device/collaborators{/collaborator},61,edge ai
mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios.",83896,2024-07-29T01:48:05Z,7097,4372,False,718,C++,869597,1.0,False,False,False,https://api.github.com/repos/mindspore-ai/mindspore/contributors,https://api.github.com/repos/mindspore-ai/mindspore/collaborators{/collaborator},93,edge ai
VILA,NVlabs/VILA,https://github.com/NVlabs/VILA,"VILA is a family of state-of-the-art vision language models (VLMs) for diverse multimodal AI tasks across the edge, data center, and cloud.",76,2025-01-11T08:40:08Z,59,2788,False,223,Python,71722,1.0,False,False,False,https://api.github.com/repos/NVlabs/VILA/contributors,https://api.github.com/repos/NVlabs/VILA/collaborators{/collaborator},15,edge ai
Java-Interview-Tutorial,Java-Edge/Java-Interview-Tutorial,https://github.com/Java-Edge/Java-Interview-Tutorial,请star，勿fork，因为爱force push！涵盖国际大厂Java/数据库/DDD/设计模式/微服务/中间件/AI大模型应用/区块链开发最佳实践。关注公众号【JavaEdge】，一起交流学习！,214,2024-12-15T15:08:46Z,209,2716,False,480,Shell,58306,1.0,False,False,False,https://api.github.com/repos/Java-Edge/Java-Interview-Tutorial/contributors,https://api.github.com/repos/Java-Edge/Java-Interview-Tutorial/collaborators{/collaborator},4,edge ai
executorch,pytorch/executorch,https://github.com/pytorch/executorch,"On-device AI across mobile, embedded and edge for PyTorch",5271,2025-01-19T11:35:00Z,3856,2412,False,420,C++,150581,1.0,False,False,False,https://api.github.com/repos/pytorch/executorch/contributors,https://api.github.com/repos/pytorch/executorch/collaborators{/collaborator},100,edge ai
inngest,inngest/inngest,https://github.com/inngest/inngest,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",4174,2025-01-17T23:31:55Z,1097,2356,False,91,Go,325678,1.0,False,False,False,https://api.github.com/repos/inngest/inngest/contributors,https://api.github.com/repos/inngest/inngest/collaborators{/collaborator},24,edge ai
mediapipe-samples,google-ai-edge/mediapipe-samples,https://github.com/google-ai-edge/mediapipe-samples,,698,2025-01-07T23:10:42Z,128,1755,False,452,Jupyter Notebook,138977,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/mediapipe-samples/contributors,https://api.github.com/repos/google-ai-edge/mediapipe-samples/collaborators{/collaborator},43,edge ai
yomo,yomorun/yomo,https://github.com/yomorun/yomo,"🦖 Stateful Serverless Framework for Geo-distributed Edge AI Infra. with function calling support, write once, run on any model.",602,2025-01-19T03:38:40Z,141,1694,False,129,Go,68921,1.0,False,False,False,https://api.github.com/repos/yomorun/yomo/contributors,https://api.github.com/repos/yomorun/yomo/collaborators{/collaborator},18,edge ai
MaixPy-v1,sipeed/MaixPy-v1,https://github.com/sipeed/MaixPy-v1,"MicroPython for K210 RISC-V, let's play with edge AI easier",598,2024-06-17T07:52:31Z,4,1688,False,441,Python,57173,1.0,False,False,False,https://api.github.com/repos/sipeed/MaixPy-v1/contributors,https://api.github.com/repos/sipeed/MaixPy-v1/collaborators{/collaborator},28,edge ai
Vitis-AI,Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,"Vitis AI is Xilinx’s development stack for AI inference on Xilinx hardware platforms, including both edge devices and Alveo cards.",1253,2024-09-12T07:20:12Z,3,1526,False,640,Python,2361712,1.0,False,False,False,https://api.github.com/repos/Xilinx/Vitis-AI/contributors,https://api.github.com/repos/Xilinx/Vitis-AI/collaborators{/collaborator},34,edge ai
model-explorer,google-ai-edge/model-explorer,https://github.com/google-ai-edge/model-explorer,A modern model graph visualizer and debugger,293,2025-01-16T19:41:29Z,285,1103,False,92,JavaScript,80827,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/model-explorer/contributors,https://api.github.com/repos/google-ai-edge/model-explorer/collaborators{/collaborator},21,edge ai
SydneyQt,juzeon/SydneyQt,https://github.com/juzeon/SydneyQt,A cross-platform desktop client for the jailbroken New Bing AI Copilot (Sydney ver.) built with Go and Wails (previously based on Python and Qt).,424,2024-11-22T06:45:49Z,185,873,False,80,Go,13042,1.0,False,False,False,https://api.github.com/repos/juzeon/SydneyQt/contributors,https://api.github.com/repos/juzeon/SydneyQt/collaborators{/collaborator},3,edge ai
ktransformers,kvcache-ai/ktransformers,https://github.com/kvcache-ai/ktransformers,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations,98,2024-11-14T12:07:13Z,98,833,False,47,Python,6580,1.0,False,False,False,https://api.github.com/repos/kvcache-ai/ktransformers/contributors,https://api.github.com/repos/kvcache-ai/ktransformers/collaborators{/collaborator},16,edge ai
Magick,Oneirocom/Magick,https://github.com/Oneirocom/Magick,Magick is a cutting-edge toolkit for a new kind of AI builder. Make Magick with us!,9551,2024-11-27T23:51:03Z,3817,753,False,124,TypeScript,110747,1.0,False,False,False,https://api.github.com/repos/Oneirocom/Magick/contributors,https://api.github.com/repos/Oneirocom/Magick/collaborators{/collaborator},37,edge ai
MouseTooltipTranslator,ttop32/MouseTooltipTranslator,https://github.com/ttop32/MouseTooltipTranslator,"Mouseover Translate Any Language At Once - Chrome Extension: PDF Translator, EBOOK, EPUB, OCR, TTS, YOUTUBE DUAL SUBTITLES, GOOGLE DOCS, AI, VIEWER, GMAIL, WRITING, IMAGE, DUAL SUBS, MANGA, HOVER, DICTIONARY, WEBTOON, EDGE, JAPANESE, ENGLISH",1048,2025-01-12T01:59:56Z,674,745,False,114,JavaScript,289211,1.0,False,False,False,https://api.github.com/repos/ttop32/MouseTooltipTranslator/contributors,https://api.github.com/repos/ttop32/MouseTooltipTranslator/collaborators{/collaborator},11,edge ai
DeepStack,johnolafenwa/DeepStack,https://github.com/johnolafenwa/DeepStack,The World's Leading Cross Platform AI Engine for Edge Devices,282,2024-06-13T15:03:35Z,0,723,False,114,Python,413887,1.0,False,False,False,https://api.github.com/repos/johnolafenwa/DeepStack/contributors,https://api.github.com/repos/johnolafenwa/DeepStack/collaborators{/collaborator},5,edge ai
model_server,openvinotoolkit/model_server,https://github.com/openvinotoolkit/model_server,A scalable inference server for models optimized with OpenVINO™,2689,2025-01-19T23:16:54Z,484,697,False,213,C++,54087,1.0,False,False,False,https://api.github.com/repos/openvinotoolkit/model_server/contributors,https://api.github.com/repos/openvinotoolkit/model_server/collaborators{/collaborator},42,edge ai
audio-recorder-polyfill,ai/audio-recorder-polyfill,https://github.com/ai/audio-recorder-polyfill,MediaRecorder polyfill to record audio in Edge and Safari,239,2024-09-21T09:30:02Z,8,589,False,76,JavaScript,2418,1.0,False,True,False,https://api.github.com/repos/ai/audio-recorder-polyfill/contributors,https://api.github.com/repos/ai/audio-recorder-polyfill/collaborators{/collaborator},15,edge ai
noScribe,kaixxx/noScribe,https://github.com/kaixxx/noScribe,Cutting edge AI technology for automated audio transcription. A nice GUI for OpenAIs Whisper and pyannote (speaker identification),370,2025-01-19T11:31:39Z,83,578,False,120,Python,279790,1.0,False,False,False,https://api.github.com/repos/kaixxx/noScribe/contributors,https://api.github.com/repos/kaixxx/noScribe/collaborators{/collaborator},8,edge ai
ai-edge-torch,google-ai-edge/ai-edge-torch,https://github.com/google-ai-edge/ai-edge-torch,Supporting PyTorch models with the Google AI Edge TFLite runtime.,311,2025-01-17T22:17:37Z,290,427,False,54,Jupyter Notebook,11396,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/ai-edge-torch/contributors,https://api.github.com/repos/google-ai-edge/ai-edge-torch/collaborators{/collaborator},24,edge ai
edge-ai,crespum/edge-ai,https://github.com/crespum/edge-ai,A curated list of resources for embedded AI,57,2025-01-15T08:10:34Z,9,383,False,47,,82,1.0,False,False,False,https://api.github.com/repos/crespum/edge-ai/contributors,https://api.github.com/repos/crespum/edge-ai/collaborators{/collaborator},6,edge ai
EdgeChains,arakoodev/EdgeChains,https://github.com/arakoodev/EdgeChains,"EdgeChains.js is Full-Stack GenAI library. Front-end, backend, apis, prompt management, distributed computing. All core prompts & chains are managed declaratively in jsonnet (and not hidden in classes)",467,2025-01-01T02:28:35Z,224,376,False,78,JavaScript,45784,1.0,False,False,False,https://api.github.com/repos/arakoodev/EdgeChains/contributors,https://api.github.com/repos/arakoodev/EdgeChains/collaborators{/collaborator},20,edge ai
