name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
salt,saltstack/salt,https://github.com/saltstack/salt,Software to automate the management and configuration of any infrastructure or application at scale. Install Salt from the Salt package repositories here:,121363,2025-01-20T09:37:47Z,1280,14287,False,5496,Python,547395,1.0,False,False,False,https://api.github.com/repos/saltstack/salt/contributors,https://api.github.com/repos/saltstack/salt/collaborators{/collaborator},100,edge iot
WasmEdge,WasmEdge/WasmEdge,https://github.com/WasmEdge/WasmEdge,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",3820,2025-01-20T08:43:06Z,777,8756,False,787,C++,24586,1.0,False,False,False,https://api.github.com/repos/WasmEdge/WasmEdge/contributors,https://api.github.com/repos/WasmEdge/WasmEdge/collaborators{/collaborator},100,edge iot
microk8s,canonical/microk8s,https://github.com/canonical/microk8s,"MicroK8s is a small, fast, single-package Kubernetes for datacenters and the edge.",1344,2025-01-20T10:05:45Z,61,8636,False,779,Python,11880,1.0,False,False,False,https://api.github.com/repos/canonical/microk8s/contributors,https://api.github.com/repos/canonical/microk8s/collaborators{/collaborator},100,edge iot
kubeedge,kubeedge/kubeedge,https://github.com/kubeedge/kubeedge,Kubernetes Native Edge Computing Framework (project under CNCF),5831,2025-01-20T07:39:25Z,634,6903,False,1740,Go,143846,1.0,False,False,False,https://api.github.com/repos/kubeedge/kubeedge/contributors,https://api.github.com/repos/kubeedge/kubeedge/collaborators{/collaborator},100,edge iot
supermq,absmach/supermq,https://github.com/absmach/supermq,Event-driven Infrastructure for Modern Cloud,1811,2025-01-20T08:22:15Z,373,2489,False,672,Go,147242,1.0,False,False,False,https://api.github.com/repos/absmach/supermq/contributors,https://api.github.com/repos/absmach/supermq/collaborators{/collaborator},70,edge iot
flogo,TIBCOSoftware/flogo,https://github.com/TIBCOSoftware/flogo,"Project Flogo is an open source ecosystem of opinionated  event-driven capabilities to simplify building efficient & modern serverless functions, microservices & edge apps.",432,2024-04-24T18:42:04Z,1,2442,False,288,CSS,34005,1.0,False,False,False,https://api.github.com/repos/TIBCOSoftware/flogo/contributors,https://api.github.com/repos/TIBCOSoftware/flogo/collaborators{/collaborator},40,edge iot
baetyl,baetyl/baetyl,https://github.com/baetyl/baetyl,"Extend cloud computing, data and service seamlessly to edge devices.",1259,2024-05-11T06:12:43Z,0,1879,False,323,Go,106376,1.0,False,False,False,https://api.github.com/repos/baetyl/baetyl/contributors,https://api.github.com/repos/baetyl/baetyl/collaborators{/collaborator},26,edge iot
nanomq,nanomq/nanomq,https://github.com/nanomq/nanomq,An ultra-lightweight and blazing-fast Messaging broker/bus for IoT edge & SDV,3598,2025-01-14T14:58:23Z,539,1713,False,203,C,18876,1.0,False,False,False,https://api.github.com/repos/nanomq/nanomq/contributors,https://api.github.com/repos/nanomq/nanomq/collaborators{/collaborator},31,edge iot
loxilb,loxilb-io/loxilb,https://github.com/loxilb-io/loxilb,eBPF based cloud-native load-balancer for Kubernetes|Edge|Telco|IoT|XaaS.,3377,2025-01-19T22:06:49Z,1266,1548,False,125,Go,40347,1.0,False,False,False,https://api.github.com/repos/loxilb-io/loxilb/contributors,https://api.github.com/repos/loxilb-io/loxilb/collaborators{/collaborator},24,edge iot
ekuiper,lf-edge/ekuiper,https://github.com/lf-edge/ekuiper,Lightweight data stream processing engine for IoT edge,3243,2025-01-20T06:02:22Z,718,1519,False,418,Go,119537,1.0,False,False,False,https://api.github.com/repos/lf-edge/ekuiper/contributors,https://api.github.com/repos/lf-edge/ekuiper/collaborators{/collaborator},90,edge iot
