name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
mediapipe,google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.",4406,2025-01-17T18:25:05Z,1395,28296,False,5220,C++,603480,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/mediapipe/contributors,https://api.github.com/repos/google-ai-edge/mediapipe/collaborators{/collaborator},79,edge-ai
AI-on-the-edge-device,jomjol/AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",2026,2025-01-17T22:16:56Z,266,6266,False,677,C++,163077,1.0,False,False,False,https://api.github.com/repos/jomjol/AI-on-the-edge-device/contributors,https://api.github.com/repos/jomjol/AI-on-the-edge-device/collaborators{/collaborator},61,edge-ai
FedML,FedML-AI/FedML,https://github.com/FedML-AI/FedML,"FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, TensorOpera AI (https://TensorOpera.ai) is your generative AI platform at scale.",12120,2025-01-17T16:08:07Z,699,3768,False,790,Python,935790,1.0,False,False,False,https://api.github.com/repos/FedML-AI/FedML/contributors,https://api.github.com/repos/FedML-AI/FedML/collaborators{/collaborator},64,edge-ai
VILA,NVlabs/VILA,https://github.com/NVlabs/VILA,"VILA is a family of state-of-the-art vision language models (VLMs) for diverse multimodal AI tasks across the edge, data center, and cloud.",76,2025-01-11T08:40:08Z,59,2786,False,223,Python,71722,1.0,False,False,False,https://api.github.com/repos/NVlabs/VILA/contributors,https://api.github.com/repos/NVlabs/VILA/collaborators{/collaborator},15,edge-ai
executorch,pytorch/executorch,https://github.com/pytorch/executorch,"On-device AI across mobile, embedded and edge for PyTorch",5271,2025-01-19T11:35:00Z,3856,2412,False,420,C++,150581,1.0,False,False,False,https://api.github.com/repos/pytorch/executorch/contributors,https://api.github.com/repos/pytorch/executorch/collaborators{/collaborator},100,edge-ai
inngest,inngest/inngest,https://github.com/inngest/inngest,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",4174,2025-01-17T23:31:55Z,1097,2356,False,91,Go,325678,1.0,False,False,False,https://api.github.com/repos/inngest/inngest/contributors,https://api.github.com/repos/inngest/inngest/collaborators{/collaborator},24,edge-ai
mediapipe-samples,google-ai-edge/mediapipe-samples,https://github.com/google-ai-edge/mediapipe-samples,,698,2025-01-07T23:10:42Z,128,1755,False,452,Jupyter Notebook,138977,1.0,False,False,False,https://api.github.com/repos/google-ai-edge/mediapipe-samples/contributors,https://api.github.com/repos/google-ai-edge/mediapipe-samples/collaborators{/collaborator},43,edge-ai
Olares,beclab/Olares,https://github.com/beclab/Olares,Olares: An Open-Source Sovereign Cloud OS for Local AI,816,2025-01-19T18:44:56Z,769,1709,False,59,Shell,3627,1.0,False,False,False,https://api.github.com/repos/beclab/Olares/contributors,https://api.github.com/repos/beclab/Olares/collaborators{/collaborator},18,edge-ai
yomo,yomorun/yomo,https://github.com/yomorun/yomo,"🦖 Stateful Serverless Framework for Geo-distributed Edge AI Infra. with function calling support, write once, run on any model.",602,2025-01-19T03:38:40Z,141,1694,False,129,Go,68921,1.0,False,False,False,https://api.github.com/repos/yomorun/yomo/contributors,https://api.github.com/repos/yomorun/yomo/collaborators{/collaborator},18,edge-ai
MaixPy-v1,sipeed/MaixPy-v1,https://github.com/sipeed/MaixPy-v1,"MicroPython for K210 RISC-V, let's play with edge AI easier",598,2024-06-17T07:52:31Z,4,1688,False,441,Python,57173,1.0,False,False,False,https://api.github.com/repos/sipeed/MaixPy-v1/contributors,https://api.github.com/repos/sipeed/MaixPy-v1/collaborators{/collaborator},28,edge-ai
