name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
artificial-nose,kartben/artificial-nose,https://github.com/kartben/artificial-nose,"Instructions, source code, and misc. resources needed for building a Tiny ML-powered artificial nose.",101,2024-07-05T11:58:00Z,0,353,False,71,C,20204,1.0,False,False,False,https://api.github.com/repos/kartben/artificial-nose/contributors,https://api.github.com/repos/kartben/artificial-nose/collaborators{/collaborator},3,edge-impulse
firmware-espressif-esp32,edgeimpulse/firmware-espressif-esp32,https://github.com/edgeimpulse/firmware-espressif-esp32,Edge Impulse firmware for the Espressif ESP-EYE(ESP32) Development board,21,2024-12-02T11:38:30Z,10,76,False,26,C,6796,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-espressif-esp32/contributors,https://api.github.com/repos/edgeimpulse/firmware-espressif-esp32/collaborators{/collaborator},2,edge-impulse
firmware-arduino-nano-33-ble-sense,edgeimpulse/firmware-arduino-nano-33-ble-sense,https://github.com/edgeimpulse/firmware-arduino-nano-33-ble-sense,Edge Impulse firmware for the Arduino Nano 33 BLE Sense development board,58,2024-12-02T11:37:45Z,11,64,False,20,C,10615,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-arduino-nano-33-ble-sense/contributors,https://api.github.com/repos/edgeimpulse/firmware-arduino-nano-33-ble-sense/collaborators{/collaborator},4,edge-impulse
edge-impulse-esp32-cam-image-classification,alankrantas/edge-impulse-esp32-cam-image-classification,https://github.com/alankrantas/edge-impulse-esp32-cam-image-classification,Live Image Classification on ESP32-CAM and TFT with MobileNet v1 from Edge Impulse (TinyML),36,2024-02-26T02:53:54Z,1,53,False,13,C,8203,1.0,False,True,False,https://api.github.com/repos/alankrantas/edge-impulse-esp32-cam-image-classification/contributors,https://api.github.com/repos/alankrantas/edge-impulse-esp32-cam-image-classification/collaborators{/collaborator},1,edge-impulse
linux-sdk-python,edgeimpulse/linux-sdk-python,https://github.com/edgeimpulse/linux-sdk-python,Use Edge Impulse for Linux models from Python,42,2024-10-24T18:15:00Z,15,45,False,25,Python,97,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/linux-sdk-python/contributors,https://api.github.com/repos/edgeimpulse/linux-sdk-python/collaborators{/collaborator},11,edge-impulse
firmware-nordic-nrf52840dk-nrf5340dk,edgeimpulse/firmware-nordic-nrf52840dk-nrf5340dk,https://github.com/edgeimpulse/firmware-nordic-nrf52840dk-nrf5340dk,Official Edge Impulse firmware for nRF52840 DK and nRF5340 DK,38,2024-12-02T11:38:59Z,10,30,False,5,C,10013,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-nordic-nrf52840dk-nrf5340dk/contributors,https://api.github.com/repos/edgeimpulse/firmware-nordic-nrf52840dk-nrf5340dk/collaborators{/collaborator},4,edge-impulse
firmware-st-b-l475e-iot01a,edgeimpulse/firmware-st-b-l475e-iot01a,https://github.com/edgeimpulse/firmware-st-b-l475e-iot01a,Edge Impulse firmware for the ST B-L475E-IOT01A development board,63,2024-12-02T11:39:29Z,10,27,False,11,C,9641,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-st-b-l475e-iot01a/contributors,https://api.github.com/repos/edgeimpulse/firmware-st-b-l475e-iot01a/collaborators{/collaborator},5,edge-impulse
firmware-syntiant-tinyml,edgeimpulse/firmware-syntiant-tinyml,https://github.com/edgeimpulse/firmware-syntiant-tinyml,Edge Impulse firmware for Syntiant TinyML board,22,2024-12-02T11:39:40Z,5,21,False,8,C,556,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-syntiant-tinyml/contributors,https://api.github.com/repos/edgeimpulse/firmware-syntiant-tinyml/collaborators{/collaborator},5,edge-impulse
firmware-nordic-thingy53,edgeimpulse/firmware-nordic-thingy53,https://github.com/edgeimpulse/firmware-nordic-thingy53,Official Edge Impulse firmware for Nordic Semiconductor Thingy:53,21,2024-12-02T11:39:02Z,10,17,False,10,C,8654,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-nordic-thingy53/contributors,https://api.github.com/repos/edgeimpulse/firmware-nordic-thingy53/collaborators{/collaborator},3,edge-impulse
edge-impulse-cli,edgeimpulse/edge-impulse-cli,https://github.com/edgeimpulse/edge-impulse-cli,Command line interface tools for Edge Impulse,78,2024-12-06T00:05:49Z,11,14,False,12,TypeScript,3660,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/edge-impulse-cli/contributors,https://api.github.com/repos/edgeimpulse/edge-impulse-cli/collaborators{/collaborator},3,edge-impulse
firmware-nordic-thingy91,edgeimpulse/firmware-nordic-thingy91,https://github.com/edgeimpulse/firmware-nordic-thingy91,Edge Impulse firmware for Nordic Thingy91,24,2024-12-02T11:39:07Z,10,12,False,4,C,10812,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-nordic-thingy91/contributors,https://api.github.com/repos/edgeimpulse/firmware-nordic-thingy91/collaborators{/collaborator},4,edge-impulse
yolov5,edgeimpulse/yolov5,https://github.com/edgeimpulse/yolov5,YOLOv5 transfer learning model for Edge Impulse,36,2024-10-10T21:42:25Z,1,12,False,4,Shell,7446,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/yolov5/contributors,https://api.github.com/repos/edgeimpulse/yolov5/collaborators{/collaborator},7,edge-impulse
example-custom-ml-block-keras,edgeimpulse/example-custom-ml-block-keras,https://github.com/edgeimpulse/example-custom-ml-block-keras,Custom Keras ML block example for Edge Impulse,19,2024-12-14T01:41:23Z,2,12,False,4,Python,100263,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/example-custom-ml-block-keras/contributors,https://api.github.com/repos/edgeimpulse/example-custom-ml-block-keras/collaborators{/collaborator},3,edge-impulse
firmware-silabs-thunderboard-sense-2,edgeimpulse/firmware-silabs-thunderboard-sense-2,https://github.com/edgeimpulse/firmware-silabs-thunderboard-sense-2,Edge Impulse firmware for the SiLabs Thunderboard Sense 2,38,2024-12-02T11:39:21Z,10,12,False,4,C,17161,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-silabs-thunderboard-sense-2/contributors,https://api.github.com/repos/edgeimpulse/firmware-silabs-thunderboard-sense-2/collaborators{/collaborator},4,edge-impulse
