name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
WasmEdge,WasmEdge/WasmEdge,https://github.com/WasmEdge/WasmEdge,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",3819,2025-01-19T23:06:04Z,777,8754,False,787,C++,24641,1.0,False,False,False,https://api.github.com/repos/WasmEdge/WasmEdge/contributors,https://api.github.com/repos/WasmEdge/WasmEdge/collaborators{/collaborator},100,edge-iot
nanomq,nanomq/nanomq,https://github.com/nanomq/nanomq,An ultra-lightweight and blazing-fast Messaging broker/bus for IoT edge & SDV,3598,2025-01-14T14:58:23Z,539,1711,False,203,C,18876,1.0,False,False,False,https://api.github.com/repos/nanomq/nanomq/contributors,https://api.github.com/repos/nanomq/nanomq/collaborators{/collaborator},31,edge-iot
loxilb,loxilb-io/loxilb,https://github.com/loxilb-io/loxilb,eBPF based cloud-native load-balancer for Kubernetes|Edge|Telco|IoT|XaaS.,3377,2025-01-19T22:06:49Z,1266,1547,False,124,Go,40347,1.0,False,False,False,https://api.github.com/repos/loxilb-io/loxilb/contributors,https://api.github.com/repos/loxilb-io/loxilb/collaborators{/collaborator},24,edge-iot
ekuiper,lf-edge/ekuiper,https://github.com/lf-edge/ekuiper,Lightweight data stream processing engine for IoT edge,3241,2025-01-17T10:12:02Z,718,1519,False,418,Go,119529,1.0,False,False,False,https://api.github.com/repos/lf-edge/ekuiper/contributors,https://api.github.com/repos/lf-edge/ekuiper/collaborators{/collaborator},90,edge-iot
iotedge,Azure/iotedge,https://github.com/Azure/iotedge,The IoT Edge OSS project,4241,2025-01-17T01:04:54Z,135,1472,False,462,C#,43348,1.0,False,False,False,https://api.github.com/repos/Azure/iotedge/contributors,https://api.github.com/repos/Azure/iotedge/collaborators{/collaborator},92,edge-iot
kubeone,kubermatic/kubeone,https://github.com/kubermatic/kubeone,"Kubermatic KubeOne automate cluster operations on all your cloud, on-prem, edge, and IoT environments.  ",1882,2025-01-14T15:13:55Z,207,1397,False,239,Go,14857,1.0,False,False,False,https://api.github.com/repos/kubermatic/kubeone/contributors,https://api.github.com/repos/kubermatic/kubeone/collaborators{/collaborator},79,edge-iot
iotgateway,iioter/iotgateway,https://github.com/iioter/iotgateway,"A cross-platform IoT gateway based on .net6. Through visual configuration, you can easily connect to any of your devices and systems (such as PLC, barcode scanner, CNC, database, serial device, host computer, OPC Server, OPC UA Server, Mqtt Server, etc.), so as to interact with Thingsboard, IoTSharp or Your own IoT platform for two-way data communication. Provide a simple driver development interface; of course, edge computing can also be performed.",307,2025-01-13T01:08:44Z,29,852,False,253,C#,60771,1.0,False,False,False,https://api.github.com/repos/iioter/iotgateway/contributors,https://api.github.com/repos/iioter/iotgateway/collaborators{/collaborator},11,edge-iot
pipy,flomesh-io/pipy,https://github.com/flomesh-io/pipy,"Pipy is a programmable proxy for the cloud, edge and IoT.",2251,2025-01-16T03:41:09Z,480,782,False,73,C++,53687,1.0,False,False,False,https://api.github.com/repos/flomesh-io/pipy/contributors,https://api.github.com/repos/flomesh-io/pipy/collaborators{/collaborator},21,edge-iot
balena-engine,balena-os/balena-engine,https://github.com/balena-os/balena-engine,"Moby-based Container Engine for Embedded, IoT, and Edge uses",40739,2025-01-10T16:14:46Z,7,702,False,68,Go,209150,1.0,False,False,False,https://api.github.com/repos/balena-os/balena-engine/contributors,https://api.github.com/repos/balena-os/balena-engine/collaborators{/collaborator},100,edge-iot
zilla,aklivity/zilla,https://github.com/aklivity/zilla,"🦎 A multi-protocol edge & service proxy. Seamlessly interface web apps, IoT clients, & microservices to Apache Kafka® via declaratively defined, stateless APIs.",2184,2025-01-12T23:14:21Z,682,563,False,55,Java,30050,1.0,False,False,False,https://api.github.com/repos/aklivity/zilla/contributors,https://api.github.com/repos/aklivity/zilla/collaborators{/collaborator},18,edge-iot
