name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
edgeai-tidl-tools,TexasInstruments/edgeai-tidl-tools,https://github.com/TexasInstruments/edgeai-tidl-tools,Edgeai TIDL Tools and Examples - This repository contains Tools and example developed for Deep learning runtime (DLRT) offering provided by TI’s edge AI solutions. ,545,2024-12-20T10:43:48Z,158,139,False,34,Python,18878,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai-tidl-tools/contributors,https://api.github.com/repos/TexasInstruments/edgeai-tidl-tools/collaborators{/collaborator},12,edgeai
edgeai,TexasInstruments/edgeai,https://github.com/TexasInstruments/edgeai,Edge AI Software and Development Tools,53,2024-10-21T09:36:31Z,13,135,False,13,Shell,1554,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai/contributors,https://api.github.com/repos/TexasInstruments/edgeai/collaborators{/collaborator},1,edgeai
Awesome-EdgeAI,wangxb96/Awesome-EdgeAI,https://github.com/wangxb96/Awesome-EdgeAI,"Resources of our survey paper ""Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies""",125,2025-01-08T10:12:56Z,7,63,False,7,,3813,1.0,False,False,False,https://api.github.com/repos/wangxb96/Awesome-EdgeAI/contributors,https://api.github.com/repos/wangxb96/Awesome-EdgeAI/collaborators{/collaborator},1,edgeai
Z-Ant,ZIGTinyBook/Z-Ant,https://github.com/ZIGTinyBook/Z-Ant,Zant simplifies the deployment and optimization of neural networks on microprocessors,320,2025-01-19T15:47:04Z,271,45,False,4,Zig,30833,1.0,False,False,False,https://api.github.com/repos/ZIGTinyBook/Z-Ant/contributors,https://api.github.com/repos/ZIGTinyBook/Z-Ant/collaborators{/collaborator},6,edgeai
edgeai-tensorlab,TexasInstruments/edgeai-tensorlab,https://github.com/TexasInstruments/edgeai-tensorlab,Edge AI Model Development Tools,29744,2024-10-22T10:13:41Z,2443,37,False,8,Python,637634,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai-tensorlab/contributors,https://api.github.com/repos/TexasInstruments/edgeai-tensorlab/collaborators{/collaborator},100,edgeai
EdgeAISIM,MuhammedGolec/EdgeAISIM,https://github.com/MuhammedGolec/EdgeAISIM,[MS 24] EdgeAISim: A Toolkit for Simulation and Modelling of AI Models in Edge Computing Environments,20,2024-02-13T17:26:54Z,4,32,False,11,Python,94,1.0,False,False,False,https://api.github.com/repos/MuhammedGolec/EdgeAISIM/contributors,https://api.github.com/repos/MuhammedGolec/EdgeAISIM/collaborators{/collaborator},3,edgeai
EdgeAI-Toolkit,AIDrive-Research/EdgeAI-Toolkit,https://github.com/AIDrive-Research/EdgeAI-Toolkit,🔥🔥机器视觉边缘计算的成熟应用，适配RK瑞芯微/Ascend昇腾系列芯片，提供模型训练、模型量化源代码🔥🔥,63,2025-01-16T09:17:11Z,25,30,False,9,Python,408389,1.0,False,False,False,https://api.github.com/repos/AIDrive-Research/EdgeAI-Toolkit/contributors,https://api.github.com/repos/AIDrive-Research/EdgeAI-Toolkit/collaborators{/collaborator},3,edgeai
edgeai-gst-apps,TexasInstruments/edgeai-gst-apps,https://github.com/TexasInstruments/edgeai-gst-apps,Gstreamer based Edge AI reference application,173,2024-12-12T12:20:44Z,43,26,False,27,C++,488,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai-gst-apps/contributors,https://api.github.com/repos/TexasInstruments/edgeai-gst-apps/collaborators{/collaborator},9,edgeai
Spresense-LowPower-EdgeAI,TE-YoshinoriOota/Spresense-LowPower-EdgeAI,https://github.com/TE-YoshinoriOota/Spresense-LowPower-EdgeAI,"Sample projects for ""Get started Low Power Edge AI with Spresense""",18,2024-05-20T01:02:37Z,3,25,False,4,C++,5301,1.0,False,False,False,https://api.github.com/repos/TE-YoshinoriOota/Spresense-LowPower-EdgeAI/contributors,https://api.github.com/repos/TE-YoshinoriOota/Spresense-LowPower-EdgeAI/collaborators{/collaborator},1,edgeai
edgeai-gst-plugins,TexasInstruments/edgeai-gst-plugins,https://github.com/TexasInstruments/edgeai-gst-plugins,Repository to host GStreamer plugins for TI's EdgeAI class of devices,1812,2024-12-12T08:41:45Z,32,19,False,4,C,2063,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai-gst-plugins/contributors,https://api.github.com/repos/TexasInstruments/edgeai-gst-plugins/collaborators{/collaborator},15,edgeai
nn-dist-train,etri-edgeai/nn-dist-train,https://github.com/etri-edgeai/nn-dist-train,,855,2024-10-12T07:54:20Z,202,19,False,7,Jupyter Notebook,195158,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/nn-dist-train/contributors,https://api.github.com/repos/etri-edgeai/nn-dist-train/collaborators{/collaborator},17,edgeai
nn-dist-train-poc,etri-edgeai/nn-dist-train-poc,https://github.com/etri-edgeai/nn-dist-train-poc,,373,2024-10-12T07:49:20Z,112,18,False,8,Python,92471,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/nn-dist-train-poc/contributors,https://api.github.com/repos/etri-edgeai/nn-dist-train-poc/collaborators{/collaborator},13,edgeai
nn-comp-llm,etri-edgeai/nn-comp-llm,https://github.com/etri-edgeai/nn-comp-llm,,141,2024-10-10T10:30:43Z,38,16,False,6,Jupyter Notebook,1888,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/nn-comp-llm/contributors,https://api.github.com/repos/etri-edgeai/nn-comp-llm/collaborators{/collaborator},8,edgeai
cloud-edge-aicontainers,etri-edgeai/cloud-edge-aicontainers,https://github.com/etri-edgeai/cloud-edge-aicontainers,,1317,2024-08-07T08:15:32Z,249,14,False,7,Python,483507,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/cloud-edge-aicontainers/contributors,https://api.github.com/repos/etri-edgeai/cloud-edge-aicontainers/collaborators{/collaborator},6,edgeai
cloud-edge-framework,etri-edgeai/cloud-edge-framework,https://github.com/etri-edgeai/cloud-edge-framework,,828,2024-11-29T03:34:37Z,244,14,False,7,HTML,189920,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/cloud-edge-framework/contributors,https://api.github.com/repos/etri-edgeai/cloud-edge-framework/collaborators{/collaborator},6,edgeai
nn-comp,etri-edgeai/nn-comp,https://github.com/etri-edgeai/nn-comp,Neural Network Compression for Edge AI,338,2024-12-19T13:18:59Z,1,12,False,7,Python,554,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/nn-comp/contributors,https://api.github.com/repos/etri-edgeai/nn-comp/collaborators{/collaborator},4,edgeai
