name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
courseware-embedded-machine-learning,edgeimpulse/courseware-embedded-machine-learning,https://github.com/edgeimpulse/courseware-embedded-machine-learning,,56,2024-06-26T14:42:26Z,1,192,False,72,Jupyter Notebook,379826,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/courseware-embedded-machine-learning/contributors,https://api.github.com/repos/edgeimpulse/courseware-embedded-machine-learning/collaborators{/collaborator},1,edgeimpulse
inferencing-sdk-cpp,edgeimpulse/inferencing-sdk-cpp,https://github.com/edgeimpulse/inferencing-sdk-cpp,Portable C++ library for signal processing and machine learning inferencing,70,2024-12-02T11:41:50Z,15,81,False,20,C,9865,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/inferencing-sdk-cpp/contributors,https://api.github.com/repos/edgeimpulse/inferencing-sdk-cpp/collaborators{/collaborator},6,edgeimpulse
firmware-espressif-esp32,edgeimpulse/firmware-espressif-esp32,https://github.com/edgeimpulse/firmware-espressif-esp32,Edge Impulse firmware for the Espressif ESP-EYE(ESP32) Development board,21,2024-12-02T11:38:30Z,10,76,False,26,C,6796,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-espressif-esp32/contributors,https://api.github.com/repos/edgeimpulse/firmware-espressif-esp32/collaborators{/collaborator},2,edgeimpulse
mobile-client,edgeimpulse/mobile-client,https://github.com/edgeimpulse/mobile-client,Mobile acquisition and inferencing client,35,2024-11-22T10:08:20Z,9,64,False,18,CSS,17641,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/mobile-client/contributors,https://api.github.com/repos/edgeimpulse/mobile-client/collaborators{/collaborator},2,edgeimpulse
firmware-arduino-nano-33-ble-sense,edgeimpulse/firmware-arduino-nano-33-ble-sense,https://github.com/edgeimpulse/firmware-arduino-nano-33-ble-sense,Edge Impulse firmware for the Arduino Nano 33 BLE Sense development board,58,2024-12-02T11:37:45Z,11,64,False,20,C,10615,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-arduino-nano-33-ble-sense/contributors,https://api.github.com/repos/edgeimpulse/firmware-arduino-nano-33-ble-sense/collaborators{/collaborator},4,edgeimpulse
linux-sdk-python,edgeimpulse/linux-sdk-python,https://github.com/edgeimpulse/linux-sdk-python,Use Edge Impulse for Linux models from Python,42,2024-10-24T18:15:00Z,15,45,False,25,Python,97,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/linux-sdk-python/contributors,https://api.github.com/repos/edgeimpulse/linux-sdk-python/collaborators{/collaborator},11,edgeimpulse
voice-activated-microbit,edgeimpulse/voice-activated-microbit,https://github.com/edgeimpulse/voice-activated-microbit,"Bleep, bloop, I'm a computer that responds to your voice",25,2024-03-05T13:53:04Z,3,42,False,36,C,11050,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/voice-activated-microbit/contributors,https://api.github.com/repos/edgeimpulse/voice-activated-microbit/collaborators{/collaborator},4,edgeimpulse
expert-projects,edgeimpulse/expert-projects,https://github.com/edgeimpulse/expert-projects,,999,2025-01-15T00:00:49Z,208,40,False,16,Python,3673754,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/expert-projects/contributors,https://api.github.com/repos/edgeimpulse/expert-projects/collaborators{/collaborator},6,edgeimpulse
firmware-pi-rp2040,edgeimpulse/firmware-pi-rp2040,https://github.com/edgeimpulse/firmware-pi-rp2040,Ingestion & inferencing firmware for the Raspberry Pi Pico (RP2040),6,2024-06-14T13:03:00Z,0,36,False,14,C,10274,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/firmware-pi-rp2040/contributors,https://api.github.com/repos/edgeimpulse/firmware-pi-rp2040/collaborators{/collaborator},2,edgeimpulse
processing-blocks,edgeimpulse/processing-blocks,https://github.com/edgeimpulse/processing-blocks,Signal processing blocks,52,2024-04-03T19:50:10Z,7,33,False,14,Python,225,1.0,False,False,False,https://api.github.com/repos/edgeimpulse/processing-blocks/contributors,https://api.github.com/repos/edgeimpulse/processing-blocks/collaborators{/collaborator},4,edgeimpulse
