name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
PINTO_model_zoo,PINTO0309/PINTO_model_zoo,https://github.com/PINTO0309/PINTO_model_zoo,"A repository for storing models that have been inter-converted between various frameworks. Supported frameworks are TensorFlow, PyTorch, ONNX, OpenVINO, TFJS, TFTRT, TensorFlowLite (Float32/16/INT8), EdgeTPU, CoreML.",3556,2025-01-19T23:37:04Z,441,3673,False,583,Python,187892,1.0,False,False,False,https://api.github.com/repos/PINTO0309/PINTO_model_zoo/contributors,https://api.github.com/repos/PINTO0309/PINTO_model_zoo/collaborators{/collaborator},18,edgetpu
viseron,roflcoopter/viseron,https://github.com/roflcoopter/viseron,"Self-hosted, local only NVR and AI Computer Vision software.  With features such as object detection, motion detection, face recognition and more, it gives you the power to keep an eye on your home, office or any other place you want to monitor.",1847,2025-01-19T09:53:42Z,367,1843,False,190,Python,41822,1.0,False,False,False,https://api.github.com/repos/roflcoopter/viseron/contributors,https://api.github.com/repos/roflcoopter/viseron/collaborators{/collaborator},11,edgetpu
ActionAI,smellslikeml/ActionAI,https://github.com/smellslikeml/ActionAI,Real-Time Spatio-Temporally Localized Activity Detection by Tracking Body Keypoints,152,2024-10-27T21:17:58Z,0,783,False,193,Python,209898,1.0,False,False,False,https://api.github.com/repos/smellslikeml/ActionAI/contributors,https://api.github.com/repos/smellslikeml/ActionAI/collaborators{/collaborator},5,edgetpu
jevois,jevois/jevois,https://github.com/jevois/jevois,JeVois smart machine vision framework,357,2024-10-26T01:15:55Z,25,147,False,55,C,95125,1.0,False,False,False,https://api.github.com/repos/jevois/jevois/contributors,https://api.github.com/repos/jevois/jevois/collaborators{/collaborator},5,edgetpu
tflite-cv-example,NobuoTsukamoto/tflite-cv-example,https://github.com/NobuoTsukamoto/tflite-cv-example,"TensorFlow Lite, Coral Edge TPU samples (Python/C++, Raspberry Pi/Windows/Linux).",192,2024-08-24T23:22:58Z,1,120,False,15,Python,58920,1.0,False,False,False,https://api.github.com/repos/NobuoTsukamoto/tflite-cv-example/contributors,https://api.github.com/repos/NobuoTsukamoto/tflite-cv-example/collaborators{/collaborator},2,edgetpu
edgetpu-yolo,jveitchmichaelis/edgetpu-yolo,https://github.com/jveitchmichaelis/edgetpu-yolo,Minimal-dependency Yolov5 and Yolov8 export and inference demonstration for the Google Coral EdgeTPU,26,2024-04-16T07:07:15Z,1,109,False,32,Python,32545,1.0,False,False,False,https://api.github.com/repos/jveitchmichaelis/edgetpu-yolo/contributors,https://api.github.com/repos/jveitchmichaelis/edgetpu-yolo/collaborators{/collaborator},3,edgetpu
edgetpuxray,geohot/edgetpuxray,https://github.com/geohot/edgetpuxray,Enabling tinygrad compatibility with the Google Edge TPU,45,2024-08-31T03:00:13Z,1,75,False,13,C++,96,1.0,False,False,False,https://api.github.com/repos/geohot/edgetpuxray/contributors,https://api.github.com/repos/geohot/edgetpuxray/collaborators{/collaborator},3,edgetpu
coral_usb_ros,jsk-ros-pkg/coral_usb_ros,https://github.com/jsk-ros-pkg/coral_usb_ros,ROS package for Coral Edge TPU USB Accelerator,528,2024-07-10T01:40:43Z,2,55,False,35,Python,50511,1.0,False,False,False,https://api.github.com/repos/jsk-ros-pkg/coral_usb_ros/contributors,https://api.github.com/repos/jsk-ros-pkg/coral_usb_ros/collaborators{/collaborator},13,edgetpu
tflite_beam,cocoa-xu/tflite_beam,https://github.com/cocoa-xu/tflite_beam,TensorFlow Lite Erlang bindings with optional EdgeTPU support.,486,2024-10-28T14:25:08Z,50,39,False,6,C++,31477,1.0,False,False,False,https://api.github.com/repos/cocoa-xu/tflite_beam/contributors,https://api.github.com/repos/cocoa-xu/tflite_beam/collaborators{/collaborator},3,edgetpu
tflite_elixir,cocoa-xu/tflite_elixir,https://github.com/cocoa-xu/tflite_elixir,TensorFlow Lite Elixir bindings with optional EdgeTPU support.,82,2024-10-05T20:51:38Z,23,20,False,3,Elixir,31471,1.0,False,False,False,https://api.github.com/repos/cocoa-xu/tflite_elixir/contributors,https://api.github.com/repos/cocoa-xu/tflite_elixir/collaborators{/collaborator},2,edgetpu
