Code;;Magnitude Degree;Density;Groups;Number of Groups;Comment;Creation Date;Date Modified
● T1. Edge Connectivity & Communication Protocols;;112;0;Themes;1;;4/7/25;5/12/25
;● Adverse Network Conditions;2;0;ATLAS;1;;4/5/25;5/12/25
;● Asynchronous Communication;5;0;ATLAS;1;;4/2/25;5/12/25
;● Bi-Directional Communication;9;0;ATLAS;1;;3/31/25;5/12/25
;● Client Connection Issues;5;0;ATLAS;1;;3/25/25;5/12/25
;● Communication Protocol;44;0;ATLAS;1;;3/25/25;5/12/25
;● Connection Quality;10;0;ATLAS;1;;3/31/25;5/12/25
;● Connectivity Management;3;0;ATLAS;1;;4/4/25;5/12/25
;● Data Transmission;35;0;ATLAS;1;;3/31/25;5/12/25
;● Dependency on Network Operator;1;0;ATLAS;1;;4/5/25;5/12/25
;● Device Communication;9;0;ATLAS;1;;4/5/25;5/12/25
;● Disconnect Procedure;1;0;ATLAS;1;;4/2/25;5/12/25
;● Dynamic Network Management;2;0;ATLAS;1;;4/5/25;5/12/25
;● HTTP POST Request;1;0;ATLAS;1;;4/5/25;5/12/25
;● Information Transfer;2;0;ATLAS;1;;4/5/25;5/12/25
;● Keep-Alive Packets;1;0;ATLAS;1;;4/5/25;5/12/25
;● Listening Address;3;0;ATLAS;1;;3/25/25;5/12/25
;● Low Bandwidth;2;0;ATLAS;1;;4/5/25;5/12/25
;● Message Transmission;20;0;ATLAS;1;;3/25/25;5/12/25
;● MQTT Interface;10;0;ATLAS;1;;4/5/25;5/12/25
;● Multi-Language Protocol;2;0;ATLAS;1;;4/5/25;5/12/25
;● Multiple NICs Management;1;0;ATLAS;1;;4/4/25;5/12/25
;● Multiple URI Support;1;0;ATLAS;1;;4/5/25;5/12/25
;● NAT Traversal;2;0;ATLAS;1;;4/5/25;5/12/25
;● Network Complexity;1;0;ATLAS;1;;4/5/25;5/12/25
;● Network Configuration;8;0;ATLAS;1;;4/4/25;5/12/25
;● New Protocol Support;0;0;ATLAS;1;;4/3/25;5/12/25
;● Noise Interference;1;0;ATLAS;1;;4/3/25;5/12/25
;● Packet Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Peer-to-Peer Communication;3;0;ATLAS;1;;4/5/25;5/12/25
;● Remote Control;4;0;ATLAS;1;;4/2/25;5/12/25
;● Send and Receive Operations;4;0;ATLAS;1;;4/1/25;5/12/25
;● System Operational Communication;1;0;ATLAS;1;;4/4/25;5/12/25
;● Traffic Management;2;0;ATLAS;1;;4/4/25;5/12/25
;● Verificação de fluxo MQTT;0;0;ATLAS;1;;3/31/25;5/12/25
;● Virtual Machine Communication;4;0;ATLAS;1;;4/4/25;5/12/25
;● Web-Socket Connection;4;0;ATLAS;1;;4/1/25;5/12/25
;● WebRTC Functionality;1;0;ATLAS;1;;4/5/25;5/12/25
● T2. Security, Privacy & Trust Management;;71;0;Themes;1;;4/9/25;5/12/25
;● Access Control;19;0;ATLAS;1;;3/25/25;5/12/25
;● ACL Configuration;1;0;ATLAS;1;;3/31/25;5/12/25
;● AI Security Mechanism;3;0;ATLAS;1;;4/2/25;5/12/25
;● Allowlist;1;0;ATLAS;1;;4/5/25;5/12/25
;● Authentication Methods;21;0;ATLAS;1;;3/25/25;5/12/25
;● Certificate Configuration;5;0;ATLAS;1;;3/31/25;5/12/25
;● Certificate Storage;2;0;ATLAS;1;;3/31/25;5/12/25
;● Certificate Validation;2;0;ATLAS;1;;4/5/25;5/12/25
;● Clear and Encrypted Message Handling;1;0;ATLAS;1;;4/5/25;5/12/25
;● Compliance Requirements;1;0;ATLAS;1;;4/6/25;5/12/25
;● Crypto-based ID;2;0;ATLAS;1;;4/2/25;5/12/25
;● Custom Linux Security Module;1;0;ATLAS;1;;4/5/25;5/12/25
;● Device Access Control;11;0;Jander;1;;4/1/25;5/12/25
;● Device Authenticity;1;0;ATLAS;1;;4/5/25;5/12/25
;● Disclosure Timeline;1;0;ATLAS;1;;4/6/25;5/12/25
;● DMZ Configuration;1;0;ATLAS;1;;4/2/25;5/12/25
;● DNS Interception;1;0;ATLAS;1;;4/5/25;5/12/25
;● DoS Attack Prevention;1;0;ATLAS;1;;4/5/25;5/12/25
;● Encryption Techniques;4;0;ATLAS;1;;4/5/25;5/12/25
;● Executable Detection;1;0;ATLAS;1;;4/5/25;5/12/25
;● File Verification;1;0;ATLAS;1;;4/5/25;5/12/25
;● Firewall Rules;3;0;ATLAS;1;;4/4/25;5/12/25
;● JWT-based Authorization;1;0;ATLAS;1;;4/3/25;5/12/25
;● Multi-Factor Authentication;1;0;ATLAS;1;;4/5/25;5/12/25
;● NDEATH Certificate;1;0;ATLAS;1;;4/5/25;5/12/25
;● New Access Levels;1;0;ATLAS;1;;4/5/25;5/12/25
;● Perimeter Security;2;0;ATLAS;1;;4/2/25;5/12/25
;● Physical Tampering Prevention;1;0;ATLAS;1;;4/2/25;5/12/25
;● Privacy Measures;2;0;ATLAS;1;;4/5/25;5/12/25
;● Public Security Vulnerabilities;0;0;ATLAS;1;;4/6/25;5/12/25
;● Replay Attack Prevention;1;0;ATLAS;1;;4/5/25;5/12/25
;● Secret Leak Prevention;1;0;ATLAS;1;;4/5/25;5/12/25
;● Secret Management Solutions;1;0;ATLAS;1;;4/5/25;5/12/25
;● Secure Communication;9;0;ATLAS;1;;4/4/25;5/12/25
;● Secure On-boarding;2;0;ATLAS;1;;4/3/25;5/12/25
;● Security Audit;1;0;ATLAS;1;;4/5/25;5/12/25
;● Security Context;1;0;ATLAS;1;;4/5/25;5/12/25
;● Security Settings;37;0;ATLAS;1;;3/31/25;5/12/25
;● Sensitive Information Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Signature Verification;1;0;ATLAS;1;;4/5/25;5/12/25
;● SSH Authentication;1;0;ATLAS;1;;4/4/25;5/12/25
;● SSL/TLS Configuration;3;0;ATLAS;1;;3/31/25;5/12/25
;● Unique ID Requirement;3;0;ATLAS;1;;4/5/25;5/12/25
;● User and Client Entities;2;0;ATLAS;1;;4/3/25;5/12/25
;● User Authentication;1;0;ATLAS;1;;4/5/25;5/12/25
;● Vulnerability Management;1;0;ATLAS;1;;4/6/25;5/12/25
● T3. Device Lifecycle Management (Provisoning → Deployment → Operation);;106;0;Themes;1;;4/9/25;5/12/25
;● Agent Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Alocação de jobs em múltiplos nós;0;0;ATLAS;1;;4/7/25;5/12/25
;● Application Deployment;1;0;ATLAS;1;;4/5/25;5/12/25
;● Application Registration;2;0;ATLAS;1;;4/5/25;5/12/25
;● Auto Discovery;1;0;ATLAS;1;;4/5/25;5/12/25
;● Automated Patching;1;0;ATLAS;1;;4/2/25;5/12/25
;● Automation;2;0;ATLAS;1;;4/5/25;5/12/25
;● Base Service Configuration;2;0;ATLAS;1;;4/5/25;5/12/25
;● Centralized Management;3;0;ATLAS;1;;4/2/25;5/12/25
;● Component Configuration;2;0;ATLAS;1;;4/5/25;5/12/25
;● Component Management;2;0;ATLAS;1;;4/5/25;5/12/25
;● Component Transfer;1;0;ATLAS;1;;4/2/25;5/12/25
;● Container Management;2;0;ATLAS;1;;4/5/25;5/12/25
;● Controller Selection;2;0;ATLAS;1;;4/5/25;5/12/25
;● Device Binding;8;0;ATLAS;1;;4/1/25;5/12/25
;● Device Creation;2;0;ATLAS;1;;4/3/25;5/12/25
;● Device Discovery;1;0;ATLAS;1;;4/5/25;5/12/25
;● Device Management;6;0;Jander;1;;4/5/25;5/12/25
;● Device Online Status;1;0;ATLAS;1;;4/5/25;5/12/25
;● Edge Device Management;6;0;ATLAS;1;;4/4/25;5/12/25
;● Edge Discovery;3;0;ATLAS;1;;4/1/25;5/12/25
;● Edge Environments;1;0;ATLAS;1;;4/5/25;5/12/25
;● Effective Provisioning;2;0;ATLAS;1;;4/5/25;5/12/25
;● Fleet Operators;1;0;ATLAS;1;;4/5/25;5/12/25
;● Gateway Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Lifecycle Management;2;0;ATLAS;1;;4/3/25;5/12/25
;● Manager Interface;1;0;ATLAS;1;;4/1/25;5/12/25
;● Module Management;3;0;ATLAS;1;;4/4/25;5/12/25
;● Module Registration;4;0;ATLAS;1;;4/1/25;5/12/25
;● New Deployment Options;3;0;ATLAS;1;;4/3/25;5/12/25
;● Node Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Node Registration;1;0;ATLAS;1;;4/5/25;5/12/25
