Code;Comment;Code Group 1;Code Group 2;Code Group 3;Code Group 4
T1. Edge Connectivity & Communication Protocols;;Themes;;;
T1. Edge Connectivity & Communication Protocols: Adverse Network Conditions;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Asynchronous Communication;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Client Connection Issues;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Communication Protocol;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Connection Quality;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Connectivity Management;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Data Transmission;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Dependency on Network Operator;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Device Communication;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Disconnect Procedure;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Dynamic Network Management;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: HTTP POST Request;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Information Transfer;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Keep-Alive Packets;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Listening Address;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Low Bandwidth;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Message Transmission;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: MQTT Interface;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Multi-Language Protocol;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Multiple NICs Management;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Multiple URI Support;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: NAT Traversal;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Network Complexity;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Network Configuration;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: New Protocol Support;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Noise Interference;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Packet Management;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Peer-to-Peer Communication;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Remote Control;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Send and Receive Operations;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: System Operational Communication;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Traffic Management;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Verificação de fluxo MQTT;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Virtual Machine Communication;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: Web-Socket Connection;;;ATLAS;;
T1. Edge Connectivity & Communication Protocols: WebRTC Functionality;;;ATLAS;;
T2. Security, Privacy & Trust Management;;Themes;;;
T2. Security, Privacy & Trust Management: Access Control;;;ATLAS;;
T2. Security, Privacy & Trust Management: ACL Configuration;;;ATLAS;;
T2. Security, Privacy & Trust Management: AI Security Mechanism;;;ATLAS;;
T2. Security, Privacy & Trust Management: Allowlist;;;ATLAS;;
T2. Security, Privacy & Trust Management: Authentication Methods;;;ATLAS;;
T2. Security, Privacy & Trust Management: Certificate Configuration;;;ATLAS;;
T2. Security, Privacy & Trust Management: Certificate Storage;;;ATLAS;;
T2. Security, Privacy & Trust Management: Certificate Validation;;;ATLAS;;
T2. Security, Privacy & Trust Management: Clear and Encrypted Message Handling;;;ATLAS;;
T2. Security, Privacy & Trust Management: Compliance Requirements;;;ATLAS;;
T2. Security, Privacy & Trust Management: Crypto-based ID;;;ATLAS;;
T2. Security, Privacy & Trust Management: Custom Linux Security Module;;;ATLAS;;
T2. Security, Privacy & Trust Management: Device Access Control;;;;Research 1;
T2. Security, Privacy & Trust Management: Device Authenticity;;;ATLAS;;
T2. Security, Privacy & Trust Management: Disclosure Timeline;;;ATLAS;;
T2. Security, Privacy & Trust Management: DMZ Configuration;;;ATLAS;;
T2. Security, Privacy & Trust Management: DNS Interception;;;ATLAS;;
T2. Security, Privacy & Trust Management: DoS Attack Prevention;;;ATLAS;;
T2. Security, Privacy & Trust Management: Encryption Techniques;;;ATLAS;;
T2. Security, Privacy & Trust Management: Executable Detection;;;ATLAS;;
T2. Security, Privacy & Trust Management: File Verification;;;ATLAS;;
T2. Security, Privacy & Trust Management: Firewall Rules;;;ATLAS;;
T2. Security, Privacy & Trust Management: JWT-based Authorization;;;ATLAS;;
T2. Security, Privacy & Trust Management: Multi-Factor Authentication;;;ATLAS;;
T2. Security, Privacy & Trust Management: NDEATH Certificate;;;ATLAS;;
T2. Security, Privacy & Trust Management: New Access Levels;;;ATLAS;;
T2. Security, Privacy & Trust Management: Perimeter Security;;;ATLAS;;
T2. Security, Privacy & Trust Management: Physical Tampering Prevention;;;ATLAS;;
T2. Security, Privacy & Trust Management: Privacy Measures;;;ATLAS;;
T2. Security, Privacy & Trust Management: Public Security Vulnerabilities;;;ATLAS;;
T2. Security, Privacy & Trust Management: Replay Attack Prevention;;;ATLAS;;
T2. Security, Privacy & Trust Management: Secret Leak Prevention;;;ATLAS;;
T2. Security, Privacy & Trust Management: Secret Management Solutions;;;ATLAS;;
T2. Security, Privacy & Trust Management: Secure Communication;;;ATLAS;;
T2. Security, Privacy & Trust Management: Secure On-boarding;;;ATLAS;;
T2. Security, Privacy & Trust Management: Security Audit;;;ATLAS;;
T2. Security, Privacy & Trust Management: Security Context;;;ATLAS;;
T2. Security, Privacy & Trust Management: Security Settings;;;ATLAS;;
T2. Security, Privacy & Trust Management: Sensitive Information Management;;;ATLAS;;
T2. Security, Privacy & Trust Management: Signature Verification;;;ATLAS;;
T2. Security, Privacy & Trust Management: SSH Authentication;;;ATLAS;;
T2. Security, Privacy & Trust Management: SSL/TLS Configuration;;;ATLAS;;
T2. Security, Privacy & Trust Management: Unique ID Requirement;;;ATLAS;;
T2. Security, Privacy & Trust Management: User and Client Entities;;;ATLAS;;
T2. Security, Privacy & Trust Management: User Authentication;;;ATLAS;;
