Number;Reference;Name;Text Content;Document;Codes;Number of Codes;Comment;Initial Position;Final Position;Extensão;Creation Date ;Modification Date
1:1;¶ 4;;"""Check the publishing and receiving messages via MQTTBox.""";[ATLAS] - Codifying Fragments;"""Check the publishing and receiving messages via MQTTBox."", T1. Edge Connectivity & Communication Protocols: Communication Protocol, T1. Edge Connectivity & Communication Protocols: Listening Address, T1. Edge Connectivity & Communication Protocols: Message Transmission";4;F001;4;4;1;3/25/25;9/14/25
1:2;¶ 6;;"""Click the Add subscriber button to subscribe to the topic t and t/topic.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T11 – Stream Processing & Event‑Driven Architectures (Edge): Subscriber Action;2;;6;6;1;3/25/25;9/14/25
1:3;¶ 8;;"""The specified account (depends on username/password) will have permission to all single-level legal topics of MQTT protocol.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Communication Protocol, T2. Security, Privacy & Trust Management: Access Control, T2. Security, Privacy & Trust Management: Authentication Methods;3;;8;8;1;3/25/25;9/14/25
1:4;¶ 10;;"""ca, key, cert: Paths for authentication.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Authentication Methods, T7. Infrastructure Automation & Configuration Management: path settings;2;;10;10;1;3/25/25;9/14/25
1:5;¶ 12;;"""readonly: whether the storage volume is read-only""";[ATLAS] - Codifying Fragments;T12. Data Storage, Persistence & Caching: restrictions to storage volume;1;;12;12;1;3/25/25;9/14/25
1:6;¶ 14;;"""path: The path of the storage volume on the host""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: path settings, T12. Data Storage, Persistence & Caching: Storage Volume Path;2;;14;14;1;3/25/25;9/14/25
1:7;¶ 16;;"""image: Service entry. In the docker container mode, which means the address of image.""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: Image Address, T15. DevOps, CI/CD & Build Environments for Edge: Docker Container Mode;2;;16;16;1;3/31/25;9/14/25
1:8;¶ 18;;"""logger: Logger configuration""";[ATLAS] - Codifying Fragments;T8. Observability, Monitoring & Diagnostics: Logger Configuration;1;;18;18;1;3/31/25;9/14/25
1:9;¶ 20;;"""certificate: SSL/TLS certificate authentication configuration, if ssl or wss is enabled, it must be configured.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Authentication Methods, T2. Security, Privacy & Trust Management: Security Settings, T2. Security, Privacy & Trust Management: SSL/TLS Configuration;3;;20;20;1;3/31/25;9/14/25
1:10;¶ 22;;"""principals: ACL configuration. If not configured, client cannot connect to this Hub.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T2. Security, Privacy & Trust Management: ACL Configuration, T2. Security, Privacy & Trust Management: Security Settings;3;;22;22;1;3/31/25;9/14/25
1:11;¶ 24;;"""listen: [MUST] Listening address.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Listening Address;1;;24;24;1;3/31/25;9/14/25
