frag_ID,repo_ID,repo_name,fragments,quality_requirements (ISO 25010),fragments_source
F001,37,baetyl/baetyl,"""Check the publishing and receiving messages via MQTTBox.""",Functional Suitability,https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#workflow
F002,37,baetyl/baetyl,"""client2 and client3 will respectively get the message from client1 published to the topic t to Hub Service.""",Reliability,https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#message-transfer-test-among-devices
F003,37,baetyl/baetyl,"""Modify the configuration according to the usage requirements, and then execute sudo systemctl start baetyl.""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#workflow
F004,37,baetyl/baetyl,"""Click the Add subscriber button to subscribe to the topic t and t/topic.""",Interaction Capability,https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#message-transfer-test-among-devices
F005,37,baetyl/baetyl,"""The specified account (depends on username/password) will have permission to all single-level legal topics of MQTT protocol.""",Security,https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#message-routing-test
F006,37,baetyl/baetyl,"""Message routing rules configuration""",Functional Suitability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-remote-mqtt
F007,37,baetyl/baetyl,"""[MUST] The Client ID for the client to connect with the local Hub.""",Functional Suitability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-remote-mqtt
F008,37,baetyl/baetyl,"""interval: The default value is 1m, means maximum interval of client reconnection, doubled from 500 microseconds to maximum.""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-remote-mqtt
F009,37,baetyl/baetyl,"""logger: The default value is `info`, log level, support `debug`, `info`, `warn` and `error`.""",Maintainability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-remote-mqtt
F010,37,baetyl/baetyl," ""address: [MUST] The endpoint address for the client to connect with the local Hub.""",Flexibility,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-remote-mqtt
F011,37,baetyl/baetyl,"""ca, key, cert: Paths for authentication.""","Flexibility, Security",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-function-node
F012,37,baetyl/baetyl,"""restart: Service restart policy configuration""",Reliability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F013,37,baetyl/baetyl,"""backoff: min/max interval of restart""",Reliability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F014,37,baetyl/baetyl,"""cpu: cpus: The percentage of CPU available of the service instance""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F015,37,baetyl/baetyl,"""memory: limit: The available memory of the service""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F016,37,baetyl/baetyl,"""replica: The number of service copies, indicating the number of service instances started.""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F017,37,baetyl/baetyl,"""readonly: whether the storage volume is read-only""",Security,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F018,37,baetyl/baetyl,"""path: The path of the storage volume on the host""",Security,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F019,37,baetyl/baetyl,"""args: Service instance startup arguments""",Maintainability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F020,37,baetyl/baetyl,"""volumes: Storage volume list""",Maintainability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F021,37,baetyl/baetyl,"""image: Service entry. In the docker container mode, which means the address of image.""",Flexibility,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F022,37,baetyl/baetyl,"""logger: Logger configuration""",Interaction Capability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F023,37,baetyl/baetyl,"""retry: interval: 20s, means the re-publish interval of message.""",Reliability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F024,37,baetyl/baetyl,"""shutdown: Service exit configuration, timeout: 10m""",Reliability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F025,37,baetyl/baetyl,"""logger: backup: max: 15, the maximum number of log files to keep.""",Reliability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F026,37,baetyl/baetyl,"""certificate: SSL/TLS certificate authentication configuration, if ssl or wss is enabled, it must be configured.""",Security,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
