frag_ID,repo_ID,repo_name,quality_requirements (ISO 25010),fragments,fragments_source
F001,R037,baetyl/baetyl,"Functional Suitability, Reliability","""Check the publishing and receiving messages via MQTTBox.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#workflow
F004,R037,baetyl/baetyl,Interaction Capability,"""Click the Add subscriber button to subscribe to the topic t and t/topic.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#message-transfer-test-among-devices
F005,R037,baetyl/baetyl,Security,"""The specified account (depends on username/password) will have permission to all single-level legal topics of MQTT protocol.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Message-transfer-among-devices-with-hub-service.html#message-routing-test
F011,R037,baetyl/baetyl,Security,"""ca, key, cert: Paths for authentication.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-function-node
F017,R037,baetyl/baetyl,Security,"""readonly: whether the storage volume is read-only""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F018,R037,baetyl/baetyl,Security,"""path: The path of the storage volume on the host""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F021,R037,baetyl/baetyl,"Flexibility, Interaction Capability","""image: Service entry. In the docker container mode, which means the address of image.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#application-configuration
F022,R037,baetyl/baetyl,"Maintainability, Interaction Capability","""logger: Logger configuration""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F026,R037,baetyl/baetyl,Security,"""certificate: SSL/TLS certificate authentication configuration, if ssl or wss is enabled, it must be configured.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F027,R037,baetyl/baetyl,Security,"""principals: ACL configuration. If not configured, client cannot connect to this Hub.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F028,R037,baetyl/baetyl,"Performance Efficiency, Security","""message: length: max: 32k, maximum message length that can be transmitted.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F029,R037,baetyl/baetyl,Performance Efficiency,"""ingress: buffer: size: 10000, means the number of messages that can be cached in memory with QoS 0.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F034,R037,baetyl/baetyl,Flexibility,"""listen: [MUST] Listening address.""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F035,R037,baetyl/baetyl,Flexibility,"""subscriptions: Topic routing configuration""",https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F036,R095,fledge-iot/fledge,Flexibility; Maintainability,"""Fledge is implemented as a collection of microservices which include: Core services, Data transformation and alerting services, South services, North services, Edge data processing applications, Event detection and notification, Set point control.""",https://fledge-iot.readthedocs.io/en/latest/introduction.html?highlight=overview#architectural-overview
F037,R095,fledge-iot/fledge,Flexibility; Maintainability,"""Fledge services may also be customized by creating new plugins, written in C/C++ or Python, for data collection, processing, export, rule evaluation and event notification.""",https://fledge-iot.readthedocs.io/en/latest/introduction.html?highlight=overview#architectural-overview
F038,R095,fledge-iot/fledge,Compatibility,"""The type of storage engine is pluggable... SQLite may be chosen for a small footprint, Postgresql for larger installations, or in-memory storage for micro installations.""",https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#storage-layer
F039,R095,fledge-iot/fledge,Performance Efficiency,"""South microservices offer bi-directional communication of data and metadata between Edge devices, such as sensors, actuators or PLCs and Fledge. Smaller systems may have this service installed onboard Edge devices.""",https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#south-microservices
F040,R095,fledge-iot/fledge,"Security, Reliability","""Core functionality includes: Monitoring (to detect unresponsive microservices and self-heal), Audit Logging (to maintain logs of system changes), Certificate Storage (to maintain security certificates for different components), User Management (for authentication and permissions).""",https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#fledge-core
F041,R095,fledge-iot/fledge,Compatibility,"""North microservices offer bi-directional communication of data and metadata between the Fledge platform and larger systems located locally or in the cloud.""",https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#north-microservices
F042,R095,fledge-iot/fledge,Reliability,"""Fledge system backup and restore functionality.""",https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#fledge-core
F043,R130,jomjol/AI-on-the-edge-device,Compatibility,"""Although a board looks similar, it can have major differences, e.g.: Processor, RAM, Flashrom, Camera Modules, Onboard/External Antenna, etc.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F044,R130,jomjol/AI-on-the-edge-device,Compatibility,"""This can cause different Power Consumption, Power Requirements, compatibility issues, etc.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F045,R130,jomjol/AI-on-the-edge-device,Reliability,"""Most manufacturers and sellers buy what's cheap today on the Asian markets... trial and error approach which ESP32-CAM Module works reliably.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F046,R130,jomjol/AI-on-the-edge-device,Reliability,"""The experience with the camera only is based on single modules... it is well possible, that this module had a damage overall and other modules of the same type will work""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F047,R130,jomjol/AI-on-the-edge-device,"Reliability, Functional Suitability","""Filter out the Number ""9"", as ""3"" will often be misread for a ""9"" and void every number between 3 and 9 due to it being negative flow.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F048,R130,jomjol/AI-on-the-edge-device,Reliability,"""Split the readings into two, while the decimal numbers might move too fast to be recognized, at least the slower moving part will produce a correct reading.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F049,R130,jomjol/AI-on-the-edge-device,Maintainability,"""The ESP32-CAM supports an external antenna. It requires some soldering skills but can improve the connection quality.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F050,R130,jomjol/AI-on-the-edge-device,Maintainability,""" ""fake"" chips, or maybe wrongly configured ESP32 Boards. """,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F052,R130,jomjol/AI-on-the-edge-device,Performance Efficiency,"""This Project needs at least 4MB RAM!""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F053,R130,jomjol/AI-on-the-edge-device,Performance Efficiency,"""Especially the PSRAM is sometimes labeled wrong (Label: 4MB, Real: only 2 MB --> will not work!).""",https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F058,R130,jomjol/AI-on-the-edge-device,Interaction Capability,"""Change the ImageSize to QVGA under 'Expert mode' configuration when close enough, this will be faster and is often good enough for digital recognition.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F059,R130,jomjol/AI-on-the-edge-device,Maintainability,"""Try to get rid of the reflections by rotating the camera, so that the reflections are at positions where no number is.""",https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F061,R138,kubeedge/kubeedge,Compatibility,"""A module registered with beehive can communicate with other beehive modules if the name with which other beehive module is registered or the name of the group of the module is known.""",https://kubeedge.io/docs/architecture/beehive/#beehive-overview
F062,R138,kubeedge/kubeedge,"Compatibility, Functional Suitability","""Beehive supports following message operations: Send to a module/group, Receive by a module, Send Sync to a module/group, Send Response to a sync message.""",https://kubeedge.io/docs/architecture/beehive/#beehive-overview
F064,R138,kubeedge/kubeedge,"Performance Efficiency, Flexibility","""SendSync takes 3 parameters, (module, message and timeout duration).""",https://kubeedge.io/docs/architecture/beehive/#sendsync-to-a-module
F067,R138,kubeedge/kubeedge,Reliability,"""Receive gets the channel of a module from channels map. Then it waits for a message to arrive on that channel and returns the message. Error is returned if there is any.""",https://kubeedge.io/docs/architecture/beehive/#receive-by-a-module
F068,R138,kubeedge/kubeedge,Reliability,"""If timeout is reached, return timeout error.""",https://kubeedge.io/docs/architecture/beehive/#sendsync-to-a-group
F081,R138,kubeedge/kubeedge,Maintainability,"""Manager defines the interface of a manager, ConfigManager, Podmanager, secretmanager implements it""",https://kubeedge.io/docs/architecture/cloud/edge_controller#controller-manager
F085,R138,kubeedge/kubeedge,"Compatibility, Flexibility, Maintainability","""The main responsibility of communication module is to ensure the communication functionality between device twin and the other components.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#communication-module
F087,R138,kubeedge/kubeedge,"Performance Efficiency, Reliability","""The device twin controller periodically (every 60 s) sends ping messages to submodules. Each of the submodules updates the timestamp in a map for itself once it receives a ping. The controller checks if the timestamp for a module is more than 2 minutes old and restarts the submodule if true.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#health-check
F088,R138,kubeedge/kubeedge,"Security, Reliability","""The main responsibility of the membership module is to provide membership to the new devices added through the cloud to the edge node. This module binds the newly added devices to the edge node and creates a membership between the edge node and the edge devices.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#membership-module
F089,R138,kubeedge/kubeedge,"Safety, Reliability, Maintainability","""DeviceTwin module is responsible for storing device status, dealing with device attributes, handling device twin operations, creating a membership between the edge device and edge node, syncing device status to the cloud and syncing the device twin information between edge and cloud.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#overview
F090,R138,kubeedge/kubeedge,Reliability,"""Registers the four device twin modules and starts them as separate go routines.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#register-and-start-sub-modules
F091,R138,kubeedge/kubeedge,Reliability,"""It checks if the device in the device twin context (the list of devices are stored inside the device twin context), if not it adds a mutex to the context.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#sync-metadata-tofrom-db--sqlite-
F092,R138,kubeedge/kubeedge,"Compatibility, Reliability","""The main responsibility of the twin module is to deal with all the device twin-related operations. It can perform operations like device twin update, device twin get and device twin sync-to-cloud.""",https://kubeedge.io/docs/architecture/edge/devicetwin/#twin-module
F093,R138,kubeedge/kubeedge,Functional Suitability,"""EdgeD is an edge node module which manages pod lifecycle. It helps users to deploy containerized workloads or applications at the edge node."" ",https://kubeedge.io/docs/architecture/edge/edged/#overview
F094,R138,kubeedge/kubeedge,Flexibility,"""Several OCI-compliant runtimes are supported through the Container Runtime Interface (CRI)."" ",https://kubeedge.io/docs/architecture/edge/edged/#overview
F096,R138,kubeedge/kubeedge,Reliability,"""Probe management creates two probes for readiness and liveness respectively for pods to monitor the containers."" ",https://kubeedge.io/docs/architecture/edge/edged/#probe-management
F097,R138,kubeedge/kubeedge,Security,"""Edged uses the MetaClient module to fetch secrets from MetaManager."" ",https://kubeedge.io/docs/architecture/edge/edged/#secret-management
F098,R138,kubeedge/kubeedge,Reliability,"""A keep-alive message or heartbeat is sent to cloudHub after every heartbeatPeriod.""",https://kubeedge.io/docs/architecture/edge/edgehub/#keep-alive
F099,R138,kubeedge/kubeedge,Compatibility,"""Edge hub is responsible for interacting with CloudHub component present in the cloud. It can connect to the CloudHub using either a web-socket connection or using QUIC protocol.""",https://kubeedge.io/docs/architecture/edge/edgehub/#overview
F100,R138,kubeedge/kubeedge,Functional Suitability,"""It supports functions like sync cloud side resources update, report edged side host and device status changes.""",https://kubeedge.io/docs/architecture/edge/edgehub/#overview
F103,R138,kubeedge/kubeedge,"Functional Suitability, Maintainability","""Eventbus acts as an interface for sending/receiving messages on mqtt topics."" ",https://kubeedge.io/docs/architecture/edge/eventbus/#overview
F106,R138,kubeedge/kubeedge,"Reliability, Performance efficiency","""MetaSync operation messages are periodically sent by metamanager to sync the status of the pods running on the edge node.""",https://kubeedge.io/docs/architecture/edge/metamanager/?utm_source=chatgpt.com#metasync-operation
F113,R141,lf-edge/edge-home-orchestration-go,Compatibility,"""Interoperable, flexible, and scalable edge computing services platform""",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture
F115,R141,lf-edge/edge-home-orchestration-go,Safety,"""Provides a method for getting specific data from the data storage of the Home Edge device by rule-based approach"" (Command)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Data-Storage-Module
F116,R141,lf-edge/edge-home-orchestration-go,Functional Suitability,"""Finds the Home Edge devices in a user's home network"" (Edge Discovery)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F117,R141,lf-edge/edge-home-orchestration-go,Functional Suitability,"""Manages lifecycle and replicas of services"" (Service Management)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F118,R141,lf-edge/edge-home-orchestration-go,Performance Efficiency,"""Re-deploys services to the other Home Edge device for load balancing"" (Service Offloading)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F119,R141,lf-edge/edge-home-orchestration-go,"Security, Reliability","""Checks and notifies the status of the Home Edge devices"" (Monitoring)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F120,R141,lf-edge/edge-home-orchestration-go,Compatibility,"""Provides unified APIs for the control of the connected home devices"" (Controller Adapter)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Home-Device-Control-Module
F121,R141,lf-edge/edge-home-orchestration-go,Performance Efficiency,"""Schedules and allocates distributed job"" (Distributed Job Scheduler)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Machine-Learning-Module
F122,R141,lf-edge/edge-home-orchestration-go,Flexibility,"""Divides model for distributed neural network processing"" (Model Partition Converter)",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Machine-Learning-Module
F123,R141,lf-edge/edge-home-orchestration-go,Security,"""Provides security features...such as secure on-boarding, Certificate, AAA, encryption/decryption""",https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Security-Module
F124,R142,lf-edge/ekuiper,Functional Suitability,"""Defines the continuous streaming data source as the input, the computing logic and the result actions as the output""",https://ekuiper.org/docs/en/latest/concepts/rules.html#rules
F125,R142,lf-edge/ekuiper,Performance Efficiency,"""Benefit from Go concurrency model, the runtime flow of a rule can communicate asynchronously and non-blocking""",https://ekuiper.org/docs/en/latest/concepts/ekuiper.html#architecture-design
F126,R142,lf-edge/ekuiper,Performance Efficiency,"""Each rule can specify the operator buffer to limit the processing rate""",https://ekuiper.org/docs/en/latest/concepts/rules.html#rules-relationship
F127,R142,lf-edge/ekuiper,Compatibility,"""Sinks are used to write data to an external system""",https://ekuiper.org/docs/en/latest/concepts/sinks.html#sinks
F128,R142,lf-edge/ekuiper,Compatibility,"""Users can define the format to decode by setting format property (json, binary, protobuf)""",https://ekuiper.org/docs/en/latest/concepts/sources/overview.html#decode
F129,R142,lf-edge/ekuiper,Security,"""Each rule will have its own, standalone source instance from other rules""",https://ekuiper.org/docs/en/latest/concepts/sources/overview.html#define-and-run
F130,R142,lf-edge/ekuiper,Compatibility,"""Users can also use mqtt or other sink/source pair to connect rules""",https://ekuiper.org/docs/en/latest/concepts/rules.html#rule-pipeline
F131,R142,lf-edge/ekuiper,Maintainability,"""Users can develop a sink extension for detailed control""",https://ekuiper.org/docs/en/latest/concepts/sinks.html#result-encoding
F132,R142,lf-edge/ekuiper,"Flexibility, Performance Efficiency","""The source can be defined as shared to boost performance""",https://ekuiper.org/docs/en/latest/concepts/sources/overview.html#define-and-run
F133,R142,lf-edge/ekuiper,Flexibility,"""Multiple rules can form a processing pipeline""",https://ekuiper.org/docs/en/latest/concepts/rules.html#rule-pipeline
F134,R143,lf-edge/eve,Security,"""Access to hardware root of trust (e.g. TPM) when deployed on bare metal, supporting functions such as crypto-based ID (no device usernames and passwords), measured boot, remote attestation, signed updates, encryption, etc.""",https://lfedge.org/projects/eve/
F135,R143,lf-edge/eve,Security,"""Ability to block unused I/O ports to prevent physical tampering""",https://lfedge.org/projects/eve/
F136,R143,lf-edge/eve,Performance Efficiency,"""High efficiency and usage of device resources including remote control of CPU, memory, networking and edge device I/O ports""",https://lfedge.org/projects/eve/
F137,R143,lf-edge/eve,"Flexibility, Compatibility, Performance Efficiency","""Hosting of any combination of apps in virtual machines, containers and Kubernetes clusters""",https://lfedge.org/projects/eve/
F138,R143,lf-edge/eve,Maintainability,"""Remote updates of entire software stack with rollback capability to prevent bricking""",https://lfedge.org/projects/eve/
F139,R143,lf-edge/eve,Maintainability,"""Automated patching for security updates""",https://lfedge.org/projects/eve/
F140,R143,lf-edge/eve,Compatibility,"""EVE-OS can be deployed on any bare metal hardware (e.g., x86, Arm, GPU, RISC-V) or within a VM to provide consistent system and orchestration services""",https://lfedge.org/projects/eve/
F141,R143,lf-edge/eve,"Interaction Capability, Flexibility","""EVE-OS enables scalable, centralized management for large volumes of highly-distributed edge compute nodes""",https://lfedge.org/projects/eve/
F142,R148,loxilb-io/loxilb,Interaction Capability,"""The rationale of external mode is to provide users a similar look and feel whether running loxilb in an on-prem or public cloud environment.""",https://docs.loxilb.io/latest/kube-loxilb/#what-is-kube-loxilb
