repo_id,repo_name,Included,full_repo_name,url,criteria,arch_overview,diagrams,adrs,context,deployment,quality_attrs,interface,evaluation,stakeholders,sa_doc,layer_caps,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,domain,architectural_layer,Application Type,sa_doc_link,search_term,stars,desc.,lang,last_commit,commits_2024,total_commits,collaborators,template,fork,forks,size,score,archived,disabled
R003,supermq,Yes,absmach/supermq,https://github.com/absmach/supermq,I3,•,•,,,•,,•,,,YES,Continuum,Multi-Protocol IoT Messaging Broker,Interface Capability,Device/Edge,Identity & Access Management for IoT,Supporting Capabilities,Cross-cutting,Scalable Microservices Architecture for IoT,Supporting Capabilities,Fog/Cloud ,"Data streaming processing, Smart Environment",Infrastructure/Platform,Platform,https://docs.magistrala.abstractmachines.fr/architecture,edge iot,2489.0,Event-driven Infrastructure for Modern Cloud,Go,2025-01-20T08:22:15Z,373.0,1.811,70.0,False,False,672.0,147242.0,1.0,False,False
R009,zilla,Yes,aklivity/zilla,https://github.com/aklivity/zilla,I3,•,•,,•,•,,•,,,YES,Continuum,Event-Driven API Gateway for IoT/Edge,Interface Capability,Edge/Fog,Multi-Protocol Event Streaming Integration,Interface Capability,Edge/Fog/Cloud,Low-Latency Edge Data Proxying,Data Capabilities,Cross-cutting,Data streaming processing,Infrastructure/Platform,Platform,https://docs.aklivity.io/zilla/latest/concepts/what-is-zilla.html#who-zilla-is-for,edge-iot,563.0,"🦎 A multi-protocol edge & service proxy. Seamlessly interface web apps, IoT clients, & microservices to Apache Kafka® via declaratively defined, stateless APIs.",Java,2025-01-12T23:14:21Z,682.0,2.184,18.0,False,False,55.0,30050.0,1.0,False,False
R013,heartkit,Yes,AmbiqAI/heartkit,https://github.com/AmbiqAI/heartkit,I2,,•,,•,•,,,,,Partially,device ↔ fog,On-Device Biomedical Signal Inference,Supporting Capabilities,Device/Edge,Low-Power AI Optimization,Supporting Capabilities,Cross-cutting,Health Data Preprocessing & Model Lifecycle,Supporting Capabilities,Edge/Fog,"Healthcare,  medical IoT, Real Time Data Processing",Infrastructure/Platform,Full System,https://github.com/AmbiqAI/heartkit/blob/main/docs/assets/guides/heartkit-architecture.svg,tinyml,21.0,Perform AI-based heart monitoring tasks,Jupyter Notebook,2024-10-10T21:46:36Z,43.0,195,1.0,False,False,7.0,39767.0,1.0,False,False
R016,ai8x-synthesis,No,analogdevicesinc/ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,I2,•,•,,,•,,,•,,Partially,device ↔ fog,Model Quantization & Synthesis,Supporting Capabilities,Edge,Edge Hardware Optimization,Supporting Capabilities,Device,Toolchain Integration & Automation,Supporting Capabilities,Cross-cutting,"Industrial IoT, Efficient AI",Infrastructure/Platform,Platform/framework,https://github.com/analogdevicesinc/ai8x-synthesis?tab=readme-ov-file#overview,edge ai,59.0,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 Edge AI Devices,Python,2024-12-06T14:24:53Z,35.0,305,14.0,False,False,60.0,677035.0,1.0,False,False
R017,ai8x-training,No,analogdevicesinc/ai8x-training,https://github.com/analogdevicesinc/ai8x-training,I2,•,•,,,•,,,•,,Partially,device ↔ fog,Model Training & Preparation,Supporting Capabilities,Fog/Edge,Hardware-Aware Model Constraint Handling,Supporting Capabilities,Device,AutoML / Training Workflow Integration,Supporting Capabilities,Fog/Edge,"Computer Vision, Industrial IoT, IoT",Infrastructure/Platform,Platform/framework,https://github.com/analogdevicesinc/ai8x-training?tab=readme-ov-file#overview,edge ai,95.0,Model Training for ADI's MAX78000 and MAX78002 Edge AI Devices,Jupyter Notebook,2025-01-14T00:04:03Z,45.0,243,13.0,False,False,91.0,231469.0,1.0,False,False
R018,MaximAI_Documentation,No,analogdevicesinc/MaximAI_Documentation,https://github.com/analogdevicesinc/MaximAI_Documentation,I2,,•,,•,,,,,,Partially,device ↔ fog,TinyML Deployment for Resource-Constrained MCUs,Supporting Capabilities,Device,"Model Training, Quantization & Synthesis Workflow",Supporting Capabilities,Fog/Edge,Domain-Specific Edge AI (Vision & Speech),Supporting Capabilities,Cross-cutting,Computer Vision,Infrastructure/Platform,Platform,https://www.analog.com/en/resources/technical-articles/face-identification-using-max78000.html,edge ai,101.0,START HERE: Documentation for ADI's MAX78000 and MAX78002 Edge AI devices,,2024-05-13T16:18:32Z,5.0,111,13.0,False,False,44.0,276610.0,1.0,False,False
R022,aws-iot-fleetwise-edge,Yes,aws/aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,I1,•,•,,,•,•,•,,,YES,Edge ↔ fog,Intelligent Data Collection & Remote Commands,Data Capabilities,Edge/Fog,Store-and-Forward with Edge Buffering,Data Capabilities,Edge,Secure MQTT Communication,Interface Capability,Cross-cutting,"Autonomous Systems, Smart Environment",Infrastructure/Platform,Platform,https://github.com/aws/aws-iot-fleetwise-edge?tab=readme-ov-file#aws-iot-fleetwise-architecture,edge-iot,63.0,Reference Implementation for AWS IoT FleetWise,C++,2025-01-15T14:50:35Z,25.0,92,15.0,False,False,45.0,5039.0,1.0,False,False
R023,dem,Yes,axem-solutions/dem,https://github.com/axem-solutions/dem,I2,•,•,,,•,,•,,,YES,Edge ↔ fog,Declarative DevEnv Orchestration,Supporting Capabilities,Fog/Cloud,Template & Registry Integration,Supporting Capabilities,Cross-cutting,Portable Containerized Tooling,Supporting Capabilities,Cross-cutting,"IIoT, Real-time data streaming",Infrastructure/Platform,Subsystem,https://github.com/axem-solutions/dem/blob/main/docs/design.md,edge iot,101.0,Containerized Development Environment Manager for embedded development,Python,2025-01-17T17:02:10Z,69.0,495,9.0,False,False,15.0,7597.0,1.0,False,False
R024,azure-iot-edge-identity-translation-lite,Yes,Azure-Samples/azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,I2,•,•,,,•,,•,,,YES,Continuum,Identity Translation Gateway,Interface Capability,Fog,Protocol Translation Fabricação,Interface Capability,Device/Fog,Dynamic Device Provisioning (Cloud),Supporting Capabilities,Fog/Cloud,IIoT,Infrastructure/Platform,Platform,https://github.com/Azure/arc_jumpstart_docs,edge-iot,22.0,Azure IoT Edge Identity Translation Module sample.,C#,2024-04-22T07:26:46Z,1.0,74,12.0,False,False,22.0,769.0,1.0,False,False
R025,edge-aio-in-a-box,Yes,Azure-Samples/edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,I1,•,•,,,•,,•,,,Partially,Continuum,Automated Azure Edge Provisioning,Supporting Capabilities,Fog/Cloud,Edge AI Model Lifecycle Management,Supporting Capabilities,Fog/Edge,Interactive Edge Testing & Inference,Supporting Capabilities,Edge/Fog,"IIoT, Smart Environments",Infrastructure/Platform,Framework,https://github.com/Azure-Samples/edge-aio-in-a-box/tree/main?tab=readme-ov-file#architecture,edge-ai,13.0,Azure IoT Operations with Edge AI in-a-Box,Jupyter Notebook,2024-11-12T20:03:08Z,150.0,150,3.0,False,False,4.0,26771.0,1.0,False,False
R028,AI-in-a-Box,No,Azure/AI-in-a-Box,https://github.com/Azure/AI-in-a-Box,I1,•,•,,,•,,,,,YES,fog ↔ cloud,Deployment Acceleration,Supporting Capabilities,Cloud/Fog,Responsible AI / Security,Supporting Capabilities,cross-cutting,Scalability,Supporting Capabilities,Cloud/Fog,"IIoT, Smart Environments, Healthcare",Infrastructure/Platform,Framework,https://github.com/Azure/AI-in-a-Box/blob/main/media/images/edgeai-customvision-architecture.png,edge-ai,552.0,AI-in-a-Box leverages the expertise of Microsoft across the globe to develop and provide AI and ML solutions to the technical community.  Our intent is to present a curated collection of solution accelerators that can help engineers establish their AI/ML environments and solutions rapidly and with minimal friction.,Jupyter Notebook,2024-12-12T17:15:34Z,224.0,366,16.0,False,False,189.0,29055.0,1.0,False,False
R029,azure-iotedge,Yes,Azure/azure-iotedge,https://github.com/Azure/azure-iotedge,I2,•,•,,,•,,,,,Partially,device ↔ fog,Edge Module Orchestration & Runtime Management,Supporting Capabilities,Edge/Fog,Local Communication & Store-and-Forward Routing,Data Capabilities,Device/Edge,Secure Identity & Runtime Integrity,Supporting Capabilities,Cross-cutting,"Smart Environment, IIoT, Efficient AI, Autonomous Systems",Infrastructure/Platform,Platform,https://learn.microsoft.com/pt-br/azure/iot-edge/,edge-iot,170.0,The Azure IoT Edge product,PowerShell,2024-11-13T19:42:52Z,57.0,219,18.0,False,False,43.0,212.0,1.0,False,False
R031,iotedge,Yes,Azure/iotedge,https://github.com/Azure/iotedge,I2,,•,,,•,•,•,•,,YES,Continuum,Containerized Workload Orchestration,Supporting Capabilities,Edge,Local Secure Communication & Store-and-Forward,Data Capabilities,Device/Edge,Cloud-Integrated Device Management,Supporting Capabilities,Fog/Cloud ,"IIoT, Smart Environments, Computer Vision",Infrastructure/Platform,Full System,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-runtime,edge-iot,1472.0,The IoT Edge OSS project,C#,2025-01-17T01:04:54Z,135.0,4.241,92.0,False,False,462.0,43348.0,1.0,False,False
R032,iotedge-eflow,Yes,Azure/iotedge-eflow,https://github.com/Azure/iotedge-eflow,I2,,,,,•,,,,,YES,Continuum,Cross-Platform Edge Runtime Hosting,Supporting Capabilities,Edge/Fog,Containerized Workload Execution & Management,Supporting Capabilities,Edge,Cloud-Integrated Device Orchestration,Supporting Capabilities,Fog/Cloud ,"IIoT, Industry 4.0",Infrastructure/Platform,Platform,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-for-linux-on-windows,edge-iot,51.0,Azure IoT Edge for Linux on Windows,PowerShell,2024-11-26T21:13:54Z,1.0,505,8.0,False,False,29.0,54935.0,1.0,False,False
R033,iotedge-lorawan-starterkit,Yes,Azure/iotedge-lorawan-starterkit,https://github.com/Azure/iotedge-lorawan-starterkit,I2,•,•,,,•,,,,,YES,Continuum,Protocol Translation Gateway,Interface Capability,Device/Edge,Edge Network Server for LoRaWAN,Interface Capability,Edge,Cloud-Integrated Device & Data Management,Supporting Capabilities,Fog/Cloud ,"IIoT, Smart Environments",Infrastructure/Platform,Framework,https://azure.github.io/iotedge-lorawan-starterkit/2.2.1/user-guide/architecture/?h=archi,edge-iot,185.0,Sample implementation of LoRaWAN components to connect LoRaWAN antenna gateway running IoT Edge directly with Azure IoT.,C#,2024-05-30T13:04:45Z,0.0,1.074,34.0,False,False,63.0,35444.0,1.0,False,False
R035,KAN,Yes,Azure/KAN,https://github.com/Azure/KAN,I2,•,•,,,•,•,•,,,YES,Continuum,Efficient Model Training & Inference,Supporting Capabilities,Edge/Fog/Cloud,Explainable & Interpretable AI Models,Supporting Capabilities,Cross-cutting,Cross-Domain Deployment Flexibility,Supporting Capabilities,Device/Edge,"Federated Learning, Efficient AI",Infrastructure/Platform,Platform,https://github.com/Azure/KAN?tab=readme-ov-file#how-it-works,edge ai,77.0,"KubeAI Application Nucleus for edge is a solution accelerator for creating, deploying, and operating environment-aware solutions at scale that use artificial intelligence (AI) at the edge with the control and flexibility of open-source natively on your environment. ",TypeScript,2024-05-15T08:00:06Z,80.0,165,8.0,False,False,22.0,67854.0,1.0,False,False
R037,baetyl,Yes,baetyl/baetyl,https://github.com/baetyl/baetyl,I1,•,•,,,•,,•,,,YES,Continuum,Edge-Cloud Declarative Orchestration,Supporting Capabilities,Fog/Cloud,Modular Edge Runtime & OTA Management,Supporting Capabilities,Edge/Fog,Lightweight Messaging Middleware,Interface Capability,Device/Edge,"IIoT, Smart Environments, Efficient AI",Infrastructure/Platform,Framework,https://baetyl.readthedocs.io/en/1.0.0/overview/Design.html,edge iot,1879.0,"Extend cloud computing, data and service seamlessly to edge devices.",Go,2024-05-11T06:12:43Z,0.0,1.259,26.0,False,False,323.0,106376.0,1.0,False,False
R040,Olares,Yes,beclab/Olares,https://github.com/beclab/Olares,I2,•,•,,•,•,•,,•,•,YES,device ↔ fog,Local-First AI Application Hosting,Supporting Capabilities,Device/Edge,Decentralized AI App Marketplace,Supporting Capabilities,Cross-cutting,Application Orchestration & Management at Edge,Supporting Capabilities,Edge/Fog,Orchestration,Infrastructure/Platform,Framework,https://docs.olares.xyz/manual/system-architecture.html,edge-ai,1709.0,Olares: An Open-Source Sovereign Cloud OS for Local AI,Shell,2025-01-19T18:44:56Z,769.0,816,18.0,False,False,59.0,3627.0,1.0,False,False
R047,JAMScript,Yes,citelab/JAMScript,https://github.com/citelab/JAMScript,I2,•,,,,,•,•,,,Partially,device ↔ fog,Unified Programming Model,Supporting Capabilities,Cross-cutting,Reactive Runtime & Hierarchical Orchestration,Supporting Capabilities,Fog/Edge,Distributed Device Collaboration,Interface Capability,Device/Edge,Mobile IoT,Infrastructure/Platform,Platform,https://github.com/citelab/JAMScript/blob/master/lib/jside/docs/diagrams.pdf,edge-iot,31.0,A programming language for cloud of moving things (edge-based IoT),C,2024-09-13T06:59:44Z,9.0,2.593,20.0,False,False,19.0,58313.0,1.0,False,False
R048,FogBus2,No,Cloudslab/FogBus2,https://github.com/Cloudslab/FogBus2,I1,,•,,,•,•,,,,Partially,edge ↔ Cloud,Integrated Fog-Cloud Resource Orchestration,Supporting Capabilities,Fog/Cloud,Secure Data Management & Authentication,Supporting Capabilities,Cross-cutting,QoS-aware Task Scheduling & Monitoring,Supporting Capabilities,Edge/Fog,"Orchestration, Smart Environments, Efficient AI",Infrastructure/Platform,Platform/framework,https://github.com/Cloudslab/FogBus2?tab=readme-ov-file#sample-environment-architecture,edge-iot,25.0,FogBus2: A Lightweight and Distributed Container-based Framework for Integration of IoT-enabled Systems with Edge and Cloud Computing,Python,2024-09-03T09:17:50Z,0.0,471,2.0,False,False,10.0,27933.0,1.0,False,False
R061,kura,Yes,eclipse-kura/kura,https://github.com/eclipse-kura/kura,I1,•,•,,,•,,•,•,,Partially,Continuum,Edge Gateway Device & Network Management,Supporting Capabilities,Device/Edge,"Data Collection, Buffering & Filtering",Data Capabilities,Edge,Cloud Connectivity & Remote Lifecycle Management,Supporting Capabilities,Fog/Cloud ,IIoT,Infrastructure/Platform,Platform,http://eclipse-kura.github.io/kura/docs-release-5.6/cloud-platform/kura-sparkplug/,edge-iot,513.0,"Eclipse Kura™ is a versatile framework to supercharge your edge devices, streamlining the process of configuring your gateway, connecting sensors, and IoT devices to seamlessly collect, process, and send data to the cloud.",Java,2025-01-18T09:21:42Z,212.0,6.039,59.0,False,False,314.0,406204.0,1.0,False,False
R063,edgehog,Yes,edgehog-device-manager/edgehog,https://github.com/edgehog-device-manager/edgehog,I2,•,•,,,•,,•,,,YES,Continuum,OTA Lifecycle & Fleet Control,Supporting Capabilities,Fog/Cloud,Remote Docker Application Management,Supporting Capabilities,Edge,Dynamic Fleet Grouping & Geolocation,Supporting Capabilities,Cross-cutting,Orchestration,Infrastructure/Platform,Framework,http://docs.edgehog.io/0.9/overview.html,edge iot,35.0,"Easily manage your IoT device fleet with Edgehog at once. Get information on device status, deploy updates, geolocate your devices and much more!",Elixir,2025-01-15T13:12:47Z,512.0,1.639,15.0,False,False,22.0,8234.0,1.0,False,False
R082,edgen,No,edgenai/edgen,https://github.com/edgenai/edgen,I1,•,•,,,•,,•,,,Partially,device ↔ fog,Local Modular GenAI Serving,Supporting Capabilities,Edge/Device,Hardware-Adaptive Inference Optimization,Supporting Capabilities,Cross-cutting (Edge/Fog),Cross-Platform Native Deployment,Supporting Capabilities,Fog/Edge,Efficient AI,Infrastructure/Platform,Framework,https://github.com/edgenai/edgen/blob/main/docs/assets/edgen_architecture_overview.svg,edge ai,344.0,"⚡  Edgen: Local, private GenAI server alternative to OpenAI. No GPU required. Run AI models locally: LLMs (Llama2, Mistral, Mixtral...), Speech-to-text (whisper) and many others.",Rust,2024-05-23T14:21:38Z,315.0,315,7.0,False,False,16.0,2481.0,1.0,False,False
R083,shifu,Yes,Edgenesis/shifu,https://github.com/Edgenesis/shifu,I2,•,•,,,•,,,,•,YES,Continuum,Device Virtualization & Digital Twin,Interface Capability,Device/Edge,Protocol Interoperability & Integration,Interface Capability,Edge/Fog,Kubernetes-Native Orchestration of IoT Devices,Supporting Capabilities,Fog/Cloud ,Orchestration,Infrastructure/Platform,Framework,https://shifu.dev/docs/references/architecture/,edge iot,1304.0,Kubernetes-native IoT gateway,Go,2025-01-20T09:33:43Z,149.0,641,39.0,False,False,121.0,50368.0,1.0,False,False
R084,evio,Yes,EdgeVPNio/evio,https://github.com/EdgeVPNio/evio,I3,•,•,,,•,,•,,,YES,edge ↔ fog,Virtualized Overlay Networking,Interface Capability,Fog/Cloud,Decentralized SDN Control & Peer Discovery,Interface Capability,Fog/Edge,Secure Peer-to-Peer Tunneling,Interface Capability,Cross-cutting,IIoT,Infrastructure/Platform,Platform,https://edgevpn.io/architecture/,edge-iot,44.0,"Virtualized overlay networking for the fog. The Evio network spans the continuum, from the cloud to the edge, providing a virtual private layer 2 network suitable for edge devices in IoT workloads.",Python,2024-08-26T19:53:45Z,32.0,190,6.0,False,False,15.0,2080.0,1.0,False,False
R093,fabedge,Yes,FabEdge/fabedge,https://github.com/FabEdge/fabedge,I2,•,•,,,•,,•,,,YES,edge ↔ fog,Secure Cloud-Edge & Edge-Edge Overlay Networking,Interface Capability,Fog/Cloud,Automatic Configuration & Topology-Aware Discovery,Supporting Capabilities,Edge/Fog,Kubernetes-Native Multi-Cluster Orchestration,Supporting Capabilities,Fog/Edge,IIoT,Infrastructure/Platform,Platform,https://github.com/FabEdge/fabedge?tab=readme-ov-file#how-it-works,edge iot,523.0,Secure Edge Networking Solution Based On Kubernetes,Go,2025-01-11T01:27:42Z,7.0,835,17.0,False,False,57.0,5337.0,1.0,False,False
